Time,java.util.HashMap$Values Data
0,12593
1,18237
2,17857
3,18202
4,18176
5,17338
6,18420
7,18301
8,17239
9,18312
10,17850
11,17963
12,17676
13,18392
14,18420
15,17611
16,18415
17,18162
18,17553
19,18339
20,17512
21,18096
22,18569
23,18224
24,18620
25,19120
26,19016
27,17590
28,17949
29,17664
30,17836
31,18895
32,17858
33,17881
34,18834
35,18872
36,18861
37,18711
38,17981
39,17925
40,19373
41,18469
42,18299
43,18175
44,18158
45,17942
46,19133
47,18346
48,19314
49,18974
50,18033
51,19185
52,18592
53,18767
54,18629
55,19713
56,19271
57,18999
58,18173
59,18231
60,19368
61,18703
62,18910
63,19490
64,19110
65,18990
66,18312
67,18365
68,19591
69,18741
70,18468
71,19403
72,19948
73,19661
74,18630
75,19087
76,19413
77,19672
78,20141
79,19952
80,18653
81,19052
82,18723
83,19452
84,19658
85,19331
86,19384
87,19714
88,19257
89,19766
90,19860
91,19203
92,19280
93,19725
94,19303
95,18915
96,20967
97,20895
98,19997
99,19998
100,19882
101,19003
102,20971
103,20526
104,19542
105,19581
106,19143
107,20127
108,19721
109,19607
110,20257
111,20114
112,19674
113,20449
114,20200
115,19732
116,21181
117,19889
118,21501
119,20571
120,19428
121,21310
122,21081
123,20028
124,21567
125,20956
126,21613
127,20619
128,20013
129,20601
130,19692
131,21190
132,21785
133,20734
134,21763
135,20194
136,21053
137,20207
138,21197
139,21773
140,20751
141,21810
142,19940
143,21220
144,21838
145,20449
146,22015
147,20406
148,21055
149,22141
150,20941
151,21120
152,22195
153,20983
154,21105
155,22195
156,20755
157,20720
158,20044
159,21030
160,20816
161,21794
162,22531
163,20173
164,20768
165,21799
166,21768
167,22364
168,20397
169,21156
170,20278
171,20911
172,21796
173,21493
174,22093
175,22645
176,22657
177,20567
178,21285
179,21032
180,21549
181,22026
182,20559
183,21041
184,21481
185,21245
186,21682
187,21824
188,21672
189,21938
190,22605
191,21995
192,22418
193,22857
194,21637
195,21810
196,21956
197,21689
198,21810
199,21923
200,21355
201,21562
202,21305
203,21126
204,21118
205,23319
