Time,java.util.Hashtable$Entry Data
0,138722
1,178897
2,202152
3,204475
4,221399
5,210694
6,261266
7,269195
8,211339
9,265643
10,259480
11,291069
12,295610
13,325223
14,341971
15,333792
16,369279
17,375738
18,359469
19,392683
20,349863
21,398617
22,418200
23,436300
24,446947
25,484067
26,487475
27,447875
28,475403
29,482836
30,504087
31,552097
32,481914
33,501117
34,552550
35,561146
36,570018
37,577226
38,573330
39,574814
40,649407
41,633716
42,626202
43,643594
44,615434
45,614914
46,687257
47,661410
48,719012
49,705744
50,683095
51,746181
52,723872
53,756230
54,763458
55,818308
56,758611
57,756207
58,745123
59,763434
60,823507
61,809869
62,841734
63,872873
64,852653
65,873883
66,857489
67,871668
68,888561
69,874093
70,882354
71,914319
72,956370
73,971860
74,909277
75,945961
76,971869
77,996654
78,1022325
79,1050894
80,996755
81,1016751
82,1029949
83,1069181
84,1084655
85,1097632
86,1047153
87,1080000
88,1086299
89,1107253
90,1120558
91,1133278
92,1137135
93,1146831
94,1147257
95,1155361
96,1241612
97,1249588
98,1188361
99,1200990
100,1209786
101,1192359
102,1281366
103,1282813
104,1263808
105,1275033
106,1263159
107,1314830
108,1314004
109,1321269
110,1315014
111,1322314
112,1322829
113,1375511
114,1364991
115,1363264
116,1423430
117,1406693
118,1467837
119,1459161
120,1425082
121,1502951
122,1462685
123,1452900
124,1505080
125,1508892
126,1544671
127,1518050
128,1497724
129,1539779
130,1532019
131,1597596
132,1633800
133,1604003
134,1601701
135,1574449
136,1630015
137,1581922
138,1639595
139,1673356
140,1640993
141,1705431
142,1654643
143,1711984
144,1762014
145,1717246
146,1730265
147,1686758
148,1734354
149,1785001
150,1743894
151,1777053
152,1826092
153,1783573
154,1807918
155,1865669
156,1805733
157,1836242
158,1775197
159,1813865
160,1834188
161,1888360
162,1935683
163,1844915
164,1881289
165,1936750
166,1952576
167,1976484
168,1923755
169,1957077
170,1899998
171,1928890
172,1989397
173,1992450
174,2017627
175,2070743
176,2079665
177,2007366
178,2034073
179,2050762
180,2077038
181,2108737
182,2031996
183,2061512
184,2085390
185,2109461
186,2126645
187,2151652
188,2146337
189,2183296
190,2204816
191,2213630
192,2229853
193,2259510
194,2183371
195,2201344
196,2224351
197,2228334
198,2235083
199,2260344
200,2259997
201,2261886
202,2276399
203,2292131
204,2297438
205,2405657
