Time,java.util.Hashtable$KeySet Data
0,135
1,228
2,247
3,313
4,322
5,332
6,337
7,355
8,364
9,373
10,383
11,392
12,402
13,411
14,420
15,430
16,439
17,448
18,458
19,467
20,476
21,486
22,495
23,504
24,514
25,523
26,532
27,542
28,551
29,560
30,570
31,579
32,588
33,598
34,607
35,617
36,626
37,635
38,645
39,654
40,663
41,672
42,681
43,690
44,700
45,709
46,718
47,728
48,737
49,746
50,756
51,765
52,774
53,784
54,793
55,802
56,812
57,821
58,831
59,840
60,849
61,859
62,868
63,877
64,887
65,896
66,905
67,915
68,924
69,934
70,943
71,952
72,962
73,971
74,980
75,990
76,999
77,1008
78,1018
79,1027
80,1037
81,1046
82,1055
83,1065
84,1074
85,1083
86,1093
87,1102
88,1111
89,1121
90,1130
91,1140
92,1149
93,1158
94,1168
95,1177
96,1186
97,1196
98,1205
99,1214
100,1224
101,1233
102,1242
103,1252
104,1261
105,1271
106,1280
107,1289
108,1299
109,1308
110,1317
111,1327
112,1336
113,1346
114,1355
115,1364
116,1374
117,1383
118,1392
119,1402
120,1411
121,1420
122,1430
123,1439
124,1448
125,1458
126,1467
127,1476
128,1486
129,1495
130,1505
131,1514
132,1523
133,1533
134,1542
135,1551
136,1561
137,1570
138,1579
139,1589
140,1598
141,1607
142,1617
143,1626
144,1636
145,1645
146,1654
147,1664
148,1673
149,1682
150,1692
151,1701
152,1710
153,1720
154,1729
155,1738
156,1748
157,1757
158,1766
159,1776
160,1785
161,1795
162,1804
163,1813
164,1822
165,1832
166,1841
167,1850
168,1860
169,1869
170,1879
171,1888
172,1897
173,1907
174,1916
175,1925
176,1934
177,1943
178,1953
179,1962
180,1971
