Time,java.util.LinkedHashMap$EntryIterator Data
0,1293
1,2425
2,1710
3,2247
4,2177
5,205
6,2642
7,2329
8,2433
9,1079
10,1324
11,1032
12,2420
13,2488
14,543
15,2388
16,1534
17,278
18,2049
19,190
20,1614
21,2453
22,1877
23,2489
24,3854
25,3548
26,998
27,553
28,2883
29,435
30,402
31,2581
32,2604
33,2539
34,2154
35,426
36,217
37,3770
38,1671
39,849
40,682
41,632
42,2769
43,1098
44,3044
45,2266
46,2643
47,975
48,1378
49,1399
50,3854
51,2690
52,2059
53,161
54,2704
55,1342
56,1779
57,2874
58,1967
59,1412
60,127
61,2873
62,1080
63,222
64,2287
65,3268
66,2852
67,432
68,1191
69,2195
70,2667
71,3454
72,3183
73,181
74,850
75,282
76,2009
77,2335
78,1770
79,1475
80,2339
81,1154
82,2345
83,2499
84,1087
85,989
86,2050
87,842
88,156
89,4792
90,4574
91,2551
92,2456
93,2192
94,106
95,4644
96,3401
97,1124
98,1447
99,143
100,2452
101,1221
102,1344
103,2638
104,2224
105,1378
106,2933
107,2292
108,1368
109,4435
110,1686
111,5082
112,2964
113,302
114,4594
115,3832
116,1735
117,4956
118,3739
119,5040
120,2731
121,1014
122,2567
123,396
124,4032
125,5180
126,2704
127,5047
128,1624
129,3295
130,1068
131,3290
132,4871
133,2407
134,4822
135,466
136,3599
137,4670
138,1772
139,5102
140,1168
141,2801
142,5238
143,2411
144,2841
145,5238
146,2395
147,2668
148,5107
149,1709
150,1429
151,2224
152,1529
153,3726
154,5540
155,139
156,1225
157,3961
158,3895
159,4935
160,391
161,2117
162,1211
163,3654
164,2746
165,3793
166,5271
167,5287
168,391
169,2027
170,1219
171,2549
172,3389
173,204
174,1474
175,2244
176,1876
177,2584
178,2856
179,2480
180,3028
181,4569
182,3079
183,3799
184,4962
185,2248
186,2489
187,2727
188,2217
189,2347
190,2581
191,1153
192,1522
193,1293
194,585
195,515
196,5557
