Time,java.util.LinkedList$ListItr Data
0,526
1,3164
2,3257
3,2138
4,2412
5,630
6,3318
7,3087
8,2420
9,2127
10,2136
11,1113
12,2725
13,3187
14,1011
15,3131
16,3100
17,110
18,2024
19,179
20,2040
21,3088
22,2055
23,3242
24,3780
25,3668
26,169
27,200
28,496
29,1545
30,3719
31,973
32,663
33,3533
34,3509
35,2911
36,3172
37,911
38,128
39,4010
40,1944
41,723
42,557
43,1105
44,3777
45,937
46,3829
47,2707
48,3209
49,1655
50,2560
51,495
52,3371
53,3305
54,1131
55,627
56,4095
57,1040
58,1785
59,4430
60,2068
61,2534
62,383
63,772
64,3151
65,694
66,876
67,2431
68,4482
69,4471
70,533
71,2367
72,1870
73,3286
74,5217
75,4361
76,121
77,1686
78,879
79,2025
80,3202
81,1703
82,2773
83,3225
84,1644
85,2626
86,2387
87,1468
88,1814
89,1632
90,1757
91,178
92,5516
93,5725
94,3487
95,2625
96,2510
97,77
98,4469
99,4919
100,1593
101,2125
102,80
103,2992
104,2649
105,765
106,3470
107,2666
108,934
109,3607
110,2755
111,454
112,5384
113,1754
114,5792
115,4715
116,834
117,4598
118,5101
119,2075
120,5706
121,3643
122,5921
123,3495
124,1601
125,3377
126,805
127,4158
128,6349
129,3802
130,5753
131,1976
132,4967
133,1602
134,4714
135,6297
136,2348
137,6347
138,988
139,3496
140,6962
141,1754
142,5848
143,2148
144,3732
145,6426
146,2979
147,3868
148,6297
149,2381
150,3308
151,6428
152,1981
153,2812
154,524
155,2521
156,2932
157,6772
158,6797
159,122
160,2436
161,3915
162,4507
163,6334
164,529
165,2577
166,509
167,2011
168,4001
169,3843
170,5249
171,6973
172,6715
173,534
174,2270
175,1809
176,2991
177,4275
178,374
179,992
180,2478
181,1821
182,3216
183,3823
184,3118
185,3710
186,5517
187,4368
188,4999
189,6282
190,1920
191,3167
192,3475
193,1996
194,3024
195,3242
196,2081
197,2218
198,932
199,1080
200,1017
201,7471
