Time,java.util.Random Data
0,120
1,301
2,225
3,274
4,279
5,98
6,314
7,299
8,69
9,288
10,220
11,226
12,127
13,312
14,306
15,141
16,308
17,258
18,100
19,273
20,77
21,183
22,311
23,202
24,316
25,384
26,357
27,87
28,112
29,96
30,122
31,338
32,106
33,111
34,321
35,322
36,308
37,297
38,120
39,97
40,388
41,210
42,167
43,153
44,116
45,85
46,336
47,142
48,351
49,300
50,85
51,318
52,218
53,253
54,158
55,391
56,311
57,226
58,84
59,102
60,339
61,162
62,194
63,351
64,270
65,256
66,102
67,105
68,321
69,141
70,109
71,284
72,416
73,351
74,238
75,249
76,324
77,444
78,366
79,87
80,207
81,111
82,261
83,303
84,191
85,242
86,303
87,192
88,301
89,300
90,149
91,207
92,260
93,209
94,90
95,520
96,514
97,305
98,300
99,287
100,89
101,461
102,450
103,194
104,220
105,92
106,305
107,245
108,159
109,309
110,293
111,163
112,342
113,297
114,155
115,495
116,192
117,541
118,367
119,113
120,468
121,459
122,213
123,530
124,378
125,544
126,329
127,220
128,320
129,120
130,412
131,556
132,339
133,523
134,181
135,379
136,221
137,440
138,540
139,299
140,538
141,124
142,348
143,527
144,198
145,527
146,235
147,343
148,559
149,309
150,345
151,559
152,297
153,325
154,558
155,233
156,255
157,93
158,289
159,257
160,456
161,582
162,91
163,244
164,398
165,400
166,544
167,109
168,287
169,93
170,226
171,378
172,338
173,462
174,570
175,568
176,109
177,277
178,203
179,317
180,420
181,95
182,167
183,287
184,201
185,323
186,344
187,310
188,351
189,502
190,363
191,468
192,548
193,251
194,316
195,332
196,251
197,307
198,324
199,217
200,242
201,162
202,132
203,136
204,595
