Time,java.util.ResourceBundle$BundleReference Data
0,284
1,284
2,284
3,284
4,284
5,284
6,284
7,284
8,284
9,284
10,284
11,284
12,284
13,284
14,284
15,284
16,284
17,284
18,284
19,284
20,259
21,259
22,259
23,259
24,259
25,259
26,259
27,259
28,259
29,259
30,259
31,259
32,259
33,259
34,259
35,259
36,259
37,259
38,259
39,259
40,259
41,259
42,259
43,259
44,259
45,259
46,259
47,259
48,259
49,259
50,259
51,259
52,259
53,259
54,259
55,259
56,259
57,259
58,259
59,259
60,259
61,259
62,259
63,259
64,259
65,259
66,259
67,259
68,259
69,259
70,259
71,259
72,259
73,259
74,259
75,259
76,259
77,259
78,259
79,259
80,259
81,259
82,259
83,259
84,259
85,259
86,259
87,259
88,259
89,259
90,259
91,259
92,259
93,259
94,259
95,259
96,259
97,259
98,259
99,259
100,259
101,259
102,259
103,259
104,259
105,259
106,259
107,259
108,259
109,259
110,259
111,259
112,259
113,259
114,259
115,259
116,259
117,259
118,259
119,259
120,259
121,259
122,259
123,259
124,259
125,259
126,259
127,259
128,259
129,259
130,259
131,259
132,259
133,259
134,259
135,259
136,259
137,259
138,259
139,259
140,259
141,259
142,259
143,259
144,259
145,259
146,259
147,259
148,259
149,259
150,259
151,259
152,259
153,259
154,259
155,259
156,259
157,259
158,259
159,259
160,259
161,259
162,259
163,259
164,259
165,259
166,259
167,259
168,259
169,259
170,259
171,259
172,259
173,259
174,259
175,259
176,259
177,259
178,259
179,259
180,259
181,259
182,259
183,259
184,259
185,259
186,259
187,259
188,259
189,259
190,259
191,259
192,259
193,259
194,259
195,259
196,259
197,259
198,259
199,259
200,259
201,259
202,259
203,259
204,259
205,259
