Time,java.util.TreeMap$Entry Data
0,8519
1,14583
2,12061
3,14540
4,14561
5,9315
6,18034
7,16950
8,9290
9,17744
10,14273
11,16713
12,12261
13,18736
14,19985
15,15846
16,20279
17,19715
18,13576
19,18730
20,14152
21,19739
22,21912
23,21984
24,22493
25,27781
26,25289
27,14947
28,18128
29,16617
30,19525
31,27166
32,18753
33,20172
34,26624
35,26642
36,26561
37,24060
38,20470
39,19006
40,31726
41,25669
42,23528
43,23240
44,23819
45,20307
46,32458
47,22427
48,33729
49,28706
50,21582
51,31297
52,26099
53,29106
54,25620
55,35315
56,32917
57,29897
58,23712
59,24661
60,34038
61,29178
62,31534
63,35787
64,31352
65,32496
66,25374
67,26229
68,36310
69,28738
70,27700
71,33891
72,38743
73,38199
74,30716
75,33266
76,35249
77,37777
78,41623
79,41390
80,29684
81,33139
82,30820
83,36403
84,37892
85,37259
86,36510
87,38643
88,37322
89,39041
90,39653
91,36742
92,36858
93,37760
94,34703
95,32972
96,48909
97,47767
98,41752
99,41325
100,40115
101,34004
102,50085
103,47381
104,40429
105,38918
106,34700
107,43532
108,40776
109,38966
110,44921
111,42720
112,40370
113,47665
114,43977
115,40202
116,49711
117,43392
118,54612
119,49654
120,39179
121,53506
122,53354
123,44988
124,55110
125,49857
126,56801
127,48960
128,43329
129,47943
130,41145
131,53775
132,58898
133,49727
134,57634
135,45143
136,54947
137,45382
138,52250
139,57191
140,48939
141,57536
142,43695
143,54097
144,62009
145,49256
146,60116
147,47867
148,53187
149,61760
150,50749
151,54020
152,62257
153,51205
154,53108
155,61719
156,48831
157,51249
158,44409
159,50898
160,51885
161,59642
162,66424
163,45841
164,51075
165,58996
166,58108
167,62297
168,48787
169,51393
170,46407
171,51633
172,57804
173,57025
174,61573
175,67510
176,66258
177,50282
178,53197
179,53702
180,56681
181,60740
182,49339
183,53555
184,55591
185,56626
186,57687
187,60989
188,57606
189,61981
190,64837
191,61571
192,64942
193,66810
194,57670
195,58412
196,59646
197,58743
198,58137
199,59669
200,57253
201,56963
202,54272
203,55619
204,55223
205,72762
