Time,java.util.TreeMap Data
0,1126
1,1701
2,1719
3,1921
4,2072
5,1955
6,2390
7,2514
8,2331
9,2764
10,2839
11,2964
12,2914
13,3323
14,3435
15,3380
16,3699
17,3772
18,3597
19,3986
20,3868
21,4181
22,4458
23,4422
24,4694
25,4867
26,4958
27,4717
28,4842
29,5015
30,5088
31,5502
32,5325
33,5476
34,5849
35,5968
36,6054
37,6171
38,6008
39,6063
40,6657
41,6502
42,6490
43,6567
44,6714
45,6753
46,7296
47,7029
48,7516
49,7526
50,7288
51,7742
52,7735
53,7904
54,7766
55,8231
56,8313
57,8216
58,8175
59,8316
60,8782
61,8623
62,8763
63,9103
64,9070
65,9191
66,9082
67,9131
68,9574
69,9427
70,9469
71,9801
72,10141
73,10132
74,9893
75,10214
76,10232
77,10489
78,10815
79,10757
80,10422
81,10743
82,10665
83,10956
84,11151
85,11075
86,11330
87,11477
88,11383
89,11648
90,11719
91,11597
92,11802
93,11927
94,12005
95,11877
96,12609
97,12702
98,12538
99,12588
100,12670
101,12462
102,13063
103,13223
104,12892
105,13026
106,12909
107,13331
108,13371
109,13282
110,13650
111,13712
112,13609
113,13961
114,13978
115,13790
116,14446
117,14093
118,14664
119,14594
120,14222
121,14772
122,14982
123,14700
124,15195
125,15031
126,15410
127,15155
128,15106
129,15308
130,15095
131,15625
132,15922
133,15692
134,16072
135,15612
136,16085
137,15889
138,16314
139,16495
140,16200
141,16681
142,16123
143,16530
144,16934
145,16485
146,17075
147,16747
148,16980
149,17371
150,17073
151,17221
152,17609
153,17273
154,17404
155,17842
156,17452
157,17580
158,17418
159,17754
160,17845
161,18213
162,18449
163,17769
164,18133
165,18355
166,18454
167,18757
168,18222
169,18522
170,18372
171,18656
172,18957
173,18973
174,19249
175,19513
176,19527
177,18936
178,19223
179,19207
180,19440
181,19697
182,19298
183,19479
184,19719
185,19681
186,19926
187,20089
188,20054
189,20226
190,20496
191,20361
192,20613
193,20786
194,20388
195,20607
196,20697
197,20610
198,20811
199,20907
200,20832
201,20940
202,20843
203,20906
204,21048
205,21766
