Time,java.util.Vector Data
0,3328
1,4977
2,4636
3,4836
4,4857
5,3947
6,5121
7,4960
8,3467
9,4653
10,4072
11,4306
12,3940
13,4663
14,4711
15,3882
16,4665
17,4471
18,3658
19,4402
20,3466
21,4179
22,4596
23,4311
24,4668
25,5153
26,5025
27,3421
28,3769
29,3511
30,3743
31,4916
32,3704
33,3700
34,4750
35,4793
36,4706
37,4605
38,3814
39,3580
40,5272
41,4194
42,3977
43,3819
44,3803
45,3563
46,4918
47,3936
48,5071
49,4557
50,3496
51,4815
52,4015
53,4301
54,4058
55,5257
56,4736
57,4335
58,3492
59,3511
60,4853
61,3999
62,4259
63,4959
64,4284
65,4270
66,3466
67,3582
68,4918
69,3952
70,3709
71,4599
72,5239
73,5039
74,3670
75,4250
76,4558
77,4879
78,5319
79,5269
80,3611
81,3998
82,3785
83,4446
84,4643
85,4344
86,4236
87,4699
88,4175
89,4591
90,4676
91,4111
92,4088
93,4379
94,3990
95,3559
96,5833
97,5765
98,4643
99,4596
100,4500
101,3532
102,5667
103,5200
104,4108
105,4014
106,3542
107,4607
108,4159
109,3960
110,4697
111,4469
112,3985
113,4938
114,4560
115,3959
116,5566
117,4197
118,5976
119,5005
120,3696
121,5697
122,5430
123,4372
124,5904
125,5229
126,6026
127,4920
128,4086
129,4825
130,3792
131,5370
132,6109
133,4906
134,5847
135,4299
136,5235
137,4065
138,5198
139,5894
140,4626
141,5865
142,3789
143,5105
144,5907
145,4304
146,5936
147,4187
148,4962
149,6139
150,4676
151,4985
152,6135
153,4665
154,4891
155,6095
156,4329
157,4331
158,3550
159,4578
160,4465
161,5459
162,6305
163,3607
164,4256
165,5337
166,5382
167,5956
168,3722
169,4541
170,3552
171,4244
172,5242
173,4924
174,5551
175,6189
176,6216
177,3775
178,4474
179,4248
180,4765
181,5239
182,3641
183,4156
184,4592
185,4365
186,4837
187,4986
188,4776
189,5120
190,5712
191,5168
192,5521
193,6021
194,4529
195,4723
196,4857
197,4542
198,4638
199,4841
200,4194
201,4293
202,4008
203,3863
204,3808
205,6324
