Time,java.util.concurrent.ConcurrentHashMap$HashEntry Data
0,34002
1,34894
2,34884
3,34860
4,34881
5,34763
6,34923
7,34907
8,34089
9,34253
10,34204
11,34238
12,34163
13,34293
14,34277
15,34186
16,34297
17,34268
18,34124
19,34216
20,34079
21,34487
22,34586
23,34526
24,34600
25,34631
26,34586
27,34419
28,34420
29,34431
30,34475
31,34643
32,34293
33,34293
34,34466
35,34467
36,34441
37,34431
38,34317
39,34274
40,34495
41,34381
42,34299
43,34311
44,34308
45,34267
46,34485
47,34312
48,34501
49,34434
50,34264
51,34456
52,34346
53,34412
54,34309
55,34488
56,34450
57,34326
58,34270
59,34294
60,34491
61,34323
62,34369
63,34519
64,34390
65,34422
66,34282
67,34303
68,34455
69,34288
70,34315
71,34398
72,34525
73,34522
74,34270
75,34415
76,34364
77,34471
78,34549
79,34536
80,34271
81,34340
82,34314
83,34396
84,34440
85,34356
86,34398
87,34434
88,34342
89,34422
90,34420
91,34343
92,34364
93,34346
94,34351
95,34269
96,34588
97,34594
98,34442
99,34430
100,34416
101,34274
102,34524
103,34565
104,34353
105,34386
106,34270
107,34428
108,34399
109,34301
110,34451
111,34411
112,34314
113,34504
114,34413
115,34290
116,34564
117,34360
118,34632
119,34544
120,34318
121,34551
122,34580
123,34394
124,34611
125,34494
126,34637
127,34478
128,34356
129,34459
130,34316
131,34542
132,34662
133,34493
134,34606
135,34367
136,34555
137,34360
138,34543
139,34640
140,34428
141,34645
142,34329
143,34491
144,34678
145,34381
146,34618
147,34405
148,34503
149,34663
150,34444
151,34506
152,34663
153,34425
154,34476
155,34666
156,34379
157,34422
158,34282
159,34412
160,34424
161,34575
162,34697
163,34277
164,34399
165,34508
166,34527
167,34639
168,34292
169,34415
170,34282
171,34367
172,34496
173,34497
174,34569
175,34691
176,34692
177,34292
178,34402
179,34363
180,34454
181,34521
182,34296
183,34321
184,34421
185,34386
186,34471
187,34491
188,34432
189,34504
190,34569
191,34533
192,34575
193,34645
194,34373
195,34464
196,34484
197,34385
198,34438
199,34477
200,34392
201,34393
202,34323
203,34335
204,34333
205,34730
