Time,java.util.concurrent.CopyOnWriteArrayList$COWIterator Data
0,380
1,326
2,299
3,328
4,403
5,381
6,327
7,190
8,225
9,160
10,382
11,382
12,388
13,306
14,276
15,235
16,383
17,268
18,406
19,530
20,486
21,460
22,424
23,420
24,373
25,386
26,563
27,283
28,455
29,161
30,478
31,375
32,405
33,171
34,279
35,529
36,428
37,185
38,466
39,256
40,508
41,289
42,290
43,435
44,314
45,533
46,509
47,257
48,257
49,432
50,590
51,538
52,169
53,301
54,383
55,244
56,303
57,405
58,372
59,356
60,194
61,203
62,258
63,184
64,719
65,726
66,415
67,351
68,331
69,602
70,599
71,296
72,380
73,258
74,431
75,354
76,477
77,359
78,695
79,248
80,763
81,536
82,611
83,648
84,309
85,753
86,536
87,806
88,435
89,180
90,424
91,588
92,823
93,470
94,761
95,251
96,574
97,185
98,575
99,803
100,346
101,793
102,523
103,791
104,252
105,782
106,233
107,482
108,823
109,382
110,485
111,823
112,342
113,430
114,826
115,279
116,290
117,323
118,305
119,624
120,875
121,258
122,564
123,601
124,804
125,343
126,207
127,549
128,477
129,631
130,873
131,866
132,311
133,399
134,532
135,177
136,339
137,260
138,424
139,468
140,394
141,478
142,692
143,528
144,620
145,797
146,260
147,408
148,433
149,265
150,389
151,424
152,220
153,252
154,175
155,925
