Time,java.util.concurrent.CopyOnWriteArrayList Data
0,1497
1,1497
2,1497
3,1497
4,1497
5,1497
6,1497
7,1497
8,1497
9,1497
10,1497
11,1497
12,1497
13,1497
14,1497
15,1497
16,1497
17,1497
18,1497
19,1497
20,1497
21,1497
22,1497
23,1497
24,1497
25,1497
26,1497
27,1497
28,1497
29,1497
30,1497
31,1497
32,1497
33,1497
34,1497
35,1497
36,1497
37,1497
38,1497
39,1497
40,1497
41,1497
42,1497
43,1497
44,1497
45,1497
46,1497
47,1497
48,1497
49,1497
50,1497
51,1497
52,1497
53,1497
54,1497
55,1497
56,1497
57,1497
58,1497
59,1497
60,1497
61,1497
62,1497
63,1497
64,1497
65,1497
66,1497
67,1497
68,1497
69,1497
70,1497
71,1497
72,1497
73,1497
74,1497
75,1497
76,1497
77,1497
78,1497
79,1497
80,1497
81,1497
82,1497
83,1497
84,1497
85,1497
86,1497
87,1497
88,1497
89,1497
90,1497
91,1497
92,1497
93,1497
94,1497
95,1497
96,1497
97,1497
98,1497
99,1497
100,1497
101,1497
102,1497
103,1497
104,1497
105,1497
106,1497
107,1497
108,1497
109,1497
110,1497
111,1497
112,1497
113,1497
114,1497
115,1497
116,1497
117,1497
118,1497
119,1497
120,1497
121,1497
122,1497
123,1497
124,1497
125,1497
126,1497
127,1497
128,1497
129,1497
130,1497
131,1497
132,1497
133,1497
134,1497
135,1497
136,1497
137,1497
138,1497
139,1497
140,1497
141,1497
142,1497
143,1497
144,1497
145,1497
146,1497
147,1497
148,1497
149,1497
150,1497
151,1497
152,1497
153,1497
154,1497
155,1497
156,1497
157,1497
158,1497
159,1497
160,1497
161,1497
162,1497
163,1497
164,1497
165,1497
166,1497
167,1497
168,1497
169,1497
170,1497
171,1497
172,1497
173,1497
174,1497
175,1497
176,1497
177,1497
178,1497
179,1497
180,1497
181,1497
182,1497
183,1497
184,1497
185,1497
186,1497
187,1497
188,1497
189,1497
190,1497
191,1497
192,1497
193,1497
194,1497
195,1497
196,1497
197,1497
198,1497
199,1497
200,1497
201,1497
202,1497
203,1497
204,1497
205,1497
