Time,java.util.concurrent.Executors$RunnableAdapter Data
0,343
1,234
2,275
3,290
4,370
5,347
6,300
7,236
8,290
9,350
10,353
11,185
12,357
13,345
14,249
15,212
16,353
17,242
18,365
19,419
20,383
21,420
22,389
23,381
24,344
25,343
26,501
27,253
28,466
29,490
30,347
31,368
32,219
33,327
34,415
35,388
36,434
37,232
38,467
39,265
40,341
41,100
42,398
43,286
44,555
45,469
46,311
47,242
48,393
49,599
50,499
51,215
52,277
53,354
54,221
55,328
56,363
57,220
58,344
59,315
60,253
61,233
62,232
63,654
64,643
65,376
66,313
67,291
68,541
69,600
70,216
71,202
72,352
73,306
74,389
75,327
76,447
77,332
78,624
79,219
80,688
81,546
82,558
83,647
84,283
85,676
86,422
87,734
88,394
89,227
90,384
91,535
92,757
93,435
94,682
95,581
96,234
97,587
98,721
99,306
100,721
101,414
102,766
103,229
104,701
105,273
106,449
107,755
108,349
109,454
110,754
111,304
112,392
113,751
114,250
115,340
116,284
117,351
118,641
119,794
120,306
121,441
122,488
123,722
124,287
125,245
126,486
127,441
128,628
129,843
130,785
131,271
132,241
133,365
134,549
135,297
136,238
137,383
138,480
139,353
140,490
141,627
142,486
143,630
144,720
145,237
146,367
147,393
148,244
149,345
150,384
151,268
152,264
153,168
154,861
