Time,java.util.concurrent.FutureTask Data
0,344
1,235
2,276
3,291
4,371
5,348
6,301
7,237
8,291
9,351
10,354
11,186
12,358
13,346
14,250
15,213
16,354
17,243
18,366
19,420
20,384
21,93
22,421
23,113
24,390
25,382
26,345
27,344
28,502
29,254
30,126
31,117
32,467
33,491
34,348
35,369
36,220
37,328
38,416
39,388
40,164
41,435
42,148
43,233
44,468
45,266
46,342
47,101
48,398
49,109
50,88
51,287
52,556
53,470
54,97
55,311
56,242
57,393
58,599
59,499
60,215
61,277
62,354
63,221
64,328
65,364
66,221
67,345
68,316
69,149
70,254
71,234
72,233
73,655
74,644
75,376
76,314
77,292
78,542
79,601
80,217
81,203
82,353
83,307
84,121
85,389
86,328
87,143
88,448
89,333
90,625
91,220
92,689
93,547
94,559
95,647
96,284
97,677
98,423
99,735
100,395
101,228
102,385
103,537
104,758
105,436
106,682
107,161
108,582
109,235
110,588
111,722
112,307
113,722
114,109
115,415
116,767
117,230
118,701
119,274
120,450
121,756
122,350
123,455
124,755
125,305
126,393
127,752
128,251
129,341
130,285
131,352
132,642
133,795
134,307
135,442
136,489
137,723
138,103
139,288
140,246
141,487
142,442
143,629
144,844
145,786
146,103
147,272
148,242
149,366
150,550
151,153
152,298
153,239
154,384
155,481
156,354
157,491
158,628
159,487
160,631
161,721
162,238
163,368
164,394
165,245
166,346
167,385
168,269
169,265
170,169
171,862
