Time,java.util.concurrent.atomic.AtomicInteger Data
0,1130
1,1579
2,1545
3,1509
4,1519
5,1317
6,1625
7,1582
8,748
9,1262
10,1171
11,1314
12,1180
13,1321
14,1347
15,1233
16,1365
17,1334
18,1051
19,1231
20,846
21,1321
22,1417
23,1376
24,1429
25,1609
26,1552
27,1087
28,1226
29,1111
30,1269
31,1554
32,1044
33,1275
34,1609
35,1588
36,1587
37,1641
38,1439
39,1270
40,1759
41,1439
42,1419
43,1325
44,1000
45,1228
46,1648
47,1337
48,1690
49,1482
50,1159
51,1540
52,1386
53,1513
54,1328
55,1681
56,1210
57,1328
58,1193
59,1197
60,1624
61,1276
62,1394
63,1570
64,1355
65,1458
66,1182
67,1269
68,1456
69,1470
70,1422
71,1642
72,1909
73,1809
74,1137
75,1593
76,1576
77,1667
78,1897
79,1891
80,1299
81,1507
82,1466
83,1578
84,1644
85,1594
86,1056
87,1564
88,1416
89,1474
90,1447
91,1391
92,1456
93,1430
94,1416
95,1212
96,1939
97,1920
98,1117
99,1379
100,1428
101,1180
102,1693
103,1680
104,1350
105,1310
106,1169
107,1453
108,1407
109,1263
110,1146
111,1413
112,1289
113,1534
114,1521
115,1230
116,1774
117,1471
118,1954
119,1756
120,1344
121,1904
122,1523
123,1708
124,1991
125,1835
126,2166
127,1809
128,1636
129,1788
130,1496
131,1928
132,2179
133,1845
134,1481
135,1462
136,1811
137,1474
138,1710
139,1972
140,1530
141,1952
142,1359
143,1699
144,1978
145,1538
146,1733
147,1646
148,1931
149,2248
150,1808
151,1936
152,2245
153,1777
154,1874
155,2222
156,1714
157,1740
158,1473
159,1728
160,1788
161,2026
162,2294
163,1490
164,1741
165,1958
166,2094
167,2236
168,1576
169,1777
170,1362
171,1558
172,1846
173,1805
174,1963
175,2151
176,2123
177,1510
178,1584
179,1623
180,1720
181,1847
182,1494
183,1626
184,1731
185,1638
186,1826
187,1873
188,1786
189,2002
190,2058
191,1943
192,2079
193,2249
194,1581
195,1688
196,1710
197,1610
198,1677
199,1786
200,1609
201,1596
202,1530
203,1540
204,1513
205,2219
