Time,java.util.concurrent.locks.ReentrantLock$NonfairSync Data
0,3997
1,4434
2,4318
3,4317
4,4356
5,4030
6,4492
7,4442
8,3909
9,4367
10,4227
11,4325
12,4071
13,4454
14,4435
15,4176
16,4472
17,4403
18,3975
19,4269
20,3950
21,4219
22,4463
23,4313
24,4481
25,4609
26,4489
27,3972
28,4008
29,4023
30,4124
31,4587
32,4052
33,4072
34,4520
35,4514
36,4455
37,4411
38,4088
39,3973
40,4641
41,4307
42,4088
43,4083
44,4105
45,3954
46,4612
47,4074
48,4650
49,4434
50,3946
51,4494
52,4209
53,4385
54,4057
55,4598
56,4497
57,4171
58,3955
59,4031
60,4586
61,4140
62,4271
63,4646
64,4310
65,4406
66,4001
67,4037
68,4509
69,4046
70,4070
71,4337
72,4699
73,4651
74,4031
75,4367
76,4277
77,4528
78,4774
79,4705
80,3970
81,4199
82,4076
83,4327
84,4458
85,4257
86,4359
87,4453
88,4225
89,4418
90,4407
91,4201
92,4261
93,4236
94,4200
95,3973
96,4893
97,4885
98,4468
99,4411
100,4368
101,3967
102,4733
103,4802
104,4230
105,4272
106,3955
107,4436
108,4342
109,4090
110,4491
111,4380
112,4129
113,4621
114,4393
115,4044
116,4797
117,4255
118,4984
119,4729
120,4082
121,4778
122,4866
123,4334
124,4939
125,4588
126,5017
127,4544
128,4229
129,4498
130,4078
131,4747
132,5073
133,4588
134,4941
135,4215
136,4789
137,4240
138,4735
139,5001
140,4402
141,5005
142,4110
143,4599
144,5122
145,4292
146,4966
147,4334
148,4619
149,5081
150,4455
151,4629
152,5081
153,4399
154,4533
155,5067
156,4282
157,4406
158,3998
159,4357
160,4415
161,4847
162,5169
163,3977
164,4342
165,4651
166,4686
167,5000
168,4060
169,4350
170,3998
171,4258
172,4615
173,4599
174,4828
175,5169
176,5127
177,4060
178,4324
179,4256
180,4486
181,4703
182,4029
183,4150
184,4380
185,4311
186,4513
187,4621
188,4439
189,4651
190,4838
191,4683
192,4848
193,5011
194,4284
195,4488
196,4541
197,4307
198,4433
199,4524
200,4313
201,4319
202,4112
203,4147
204,4156
205,5245
