Time,java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync Data
0,1351
1,1353
2,1353
3,1352
4,1352
5,1352
6,1353
7,1353
8,1351
9,1352
10,1352
11,1352
12,1352
13,1353
14,1353
15,1351
16,1353
17,1353
18,1351
19,1352
20,1351
21,1352
22,1353
23,1352
24,1353
25,1353
26,1353
27,1351
28,1351
29,1351
30,1352
31,1353
32,1352
33,1351
34,1353
35,1353
36,1352
37,1353
38,1352
39,1351
40,1353
41,1352
42,1351
43,1351
44,1352
45,1351
46,1353
47,1352
48,1353
49,1353
50,1351
51,1352
52,1352
53,1353
54,1351
55,1353
56,1353
57,1351
58,1351
59,1352
60,1354
61,1351
62,1352
63,1354
64,1352
65,1353
66,1351
67,1352
68,1353
69,1351
70,1352
71,1352
72,1353
73,1354
74,1351
75,1352
76,1352
77,1353
78,1354
79,1354
80,1351
81,1352
82,1352
83,1352
84,1353
85,1352
86,1353
87,1353
88,1352
89,1353
90,1352
91,1352
92,1352
93,1352
94,1352
95,1351
96,1354
97,1354
98,1353
99,1352
100,1352
101,1351
102,1353
103,1354
104,1352
105,1353
106,1351
107,1353
108,1353
109,1351
110,1353
111,1353
112,1351
113,1353
114,1353
115,1351
116,1354
117,1352
118,1354
119,1353
120,1352
121,1353
122,1354
123,1352
124,1354
125,1353
126,1355
127,1353
128,1352
129,1353
130,1352
131,1353
132,1355
133,1354
134,1354
135,1352
136,1354
137,1352
138,1354
139,1355
140,1352
141,1355
142,1352
143,1353
144,1355
145,1352
146,1354
147,1352
148,1354
149,1355
150,1353
151,1354
152,1355
153,1352
154,1353
155,1355
156,1352
157,1353
158,1352
159,1352
160,1353
161,1354
162,1355
163,1351
164,1353
165,1353
166,1354
167,1355
168,1351
169,1353
170,1352
171,1352
172,1353
173,1354
174,1354
175,1355
176,1355
177,1351
178,1352
179,1352
180,1353
181,1353
182,1351
183,1351
184,1352
185,1352
186,1353
187,1353
188,1353
189,1353
190,1354
191,1354
192,1354
193,1355
194,1352
195,1353
196,1353
197,1352
198,1353
199,1353
200,1352
201,1352
202,1352
203,1352
204,1351
205,1356
