Time,java.util.jar.Attributes$Name Data
0,2979
1,3023
2,3007
3,3007
4,3007
5,3007
6,3007
7,3007
8,1158
9,1158
10,1161
11,1158
12,1158
13,1158
14,1158
15,1158
16,1158
17,1158
18,1158
19,1161
20,963
21,963
22,963
23,963
24,963
25,963
26,963
27,963
28,963
29,963
30,963
31,963
32,963
33,963
34,963
35,963
36,963
37,963
38,963
39,963
40,963
41,963
42,963
43,963
44,963
45,963
46,963
47,963
48,963
49,963
50,963
51,963
52,963
53,963
54,963
55,963
56,963
57,963
58,963
59,963
60,963
61,963
62,963
63,963
64,963
65,963
66,963
67,963
68,963
69,963
70,963
71,963
72,963
73,963
74,963
75,963
76,963
77,963
78,963
79,963
80,963
81,963
82,963
83,963
84,963
85,963
86,963
87,963
88,963
89,963
90,963
91,963
92,963
93,963
94,963
95,963
96,963
97,963
98,963
99,963
100,963
101,963
102,963
103,963
104,963
105,963
106,963
107,963
108,963
109,963
110,963
111,963
112,963
113,963
114,963
115,963
116,963
117,963
118,963
119,963
120,963
121,963
122,963
123,963
124,963
125,963
126,963
127,963
128,963
129,963
130,963
131,963
132,963
133,963
134,963
135,963
136,963
137,963
138,963
139,963
140,963
141,963
142,963
143,963
144,963
145,963
146,963
147,963
148,963
149,963
150,963
151,963
152,963
153,963
154,963
155,963
156,963
157,963
158,963
159,963
160,963
161,963
162,963
163,963
164,963
165,963
166,963
167,963
168,963
169,963
170,963
171,963
172,963
173,963
174,963
175,963
176,963
177,963
178,963
179,963
180,963
181,963
182,963
183,963
184,963
185,963
186,963
187,963
188,963
189,963
190,963
191,963
192,963
193,963
194,977
195,963
196,963
197,963
198,963
199,963
200,963
201,963
202,963
203,963
204,963
205,963
