Time,java.util.regex.Pattern$Dollar Data
0,294
1,312
2,303
3,305
4,307
5,294
6,313
7,309
8,290
9,306
10,303
11,308
12,298
13,314
14,309
15,301
16,311
17,308
18,294
19,304
20,292
21,302
22,314
23,304
24,313
25,317
26,312
27,293
28,295
29,294
30,293
31,317
32,297
33,298
34,316
35,315
36,314
37,310
38,298
39,295
40,319
41,305
42,298
43,294
44,299
45,291
46,316
47,299
48,320
49,310
50,291
51,315
52,302
53,308
54,297
55,320
56,314
57,302
58,291
59,295
60,317
61,298
62,304
63,318
64,303
65,310
66,293
67,294
68,317
69,295
70,296
71,306
72,323
73,320
74,295
75,309
76,306
77,315
78,323
79,324
80,292
81,299
82,296
83,307
84,311
85,302
86,309
87,311
88,303
89,309
90,312
91,305
92,306
93,304
94,301
95,293
96,330
97,329
98,314
99,312
100,308
101,292
102,323
103,323
104,303
105,302
106,295
107,309
108,306
109,297
110,314
111,307
112,302
113,319
114,307
115,296
116,324
117,303
118,334
119,323
120,296
121,328
122,326
123,307
124,332
125,317
126,333
127,315
128,303
129,315
130,298
131,326
132,335
133,317
134,333
135,302
136,325
137,303
138,323
139,336
140,312
141,334
142,300
143,319
144,338
145,304
146,335
147,307
148,319
149,338
150,314
151,319
152,338
153,312
154,315
155,337
156,307
157,310
158,293
159,310
160,310
161,330
162,343
163,293
164,306
165,321
166,322
167,336
168,296
169,309
170,293
171,305
172,317
173,317
174,327
175,340
176,341
177,296
178,306
179,308
180,314
181,323
182,295
183,302
184,308
185,304
186,315
187,320
188,312
189,320
190,324
191,323
192,327
193,337
194,305
195,313
196,319
197,306
198,311
199,315
200,306
201,307
202,298
203,298
204,301
205,345
