Time,java.util.regex.Pattern$GroupTail Data
0,1106
1,1149
2,1135
3,1140
4,1141
5,1115
6,1149
7,1146
8,1110
9,1144
10,1144
11,1137
12,1122
13,1153
14,1149
15,1126
16,1150
17,1149
18,1117
19,1144
20,1110
21,1126
22,1153
23,1122
24,1153
25,1153
26,1149
27,1115
28,1117
29,1118
30,1119
31,1153
32,1118
33,1121
34,1149
35,1153
36,1149
37,1150
38,1122
39,1117
40,1157
41,1127
42,1121
43,1114
44,1118
45,1114
46,1153
47,1122
48,1156
49,1150
50,1114
51,1149
52,1144
53,1149
54,1117
55,1156
56,1149
57,1125
58,1114
59,1119
60,1158
61,1118
62,1122
63,1158
64,1141
65,1149
66,1119
67,1119
68,1152
69,1118
70,1119
71,1144
72,1168
73,1158
74,1113
75,1146
76,1130
77,1153
78,1180
79,1161
80,1114
81,1141
82,1119
83,1131
84,1150
85,1122
86,1149
87,1150
88,1126
89,1149
90,1148
91,1122
92,1131
93,1144
94,1141
95,1114
96,1183
97,1184
98,1149
99,1148
100,1145
101,1114
102,1160
103,1178
104,1126
105,1139
106,1117
107,1149
108,1149
109,1117
110,1149
111,1149
112,1125
113,1154
114,1149
115,1117
116,1180
117,1122
118,1187
119,1162
120,1119
121,1164
122,1180
123,1131
124,1187
125,1153
126,1188
127,1153
128,1144
129,1153
130,1122
131,1160
132,1188
133,1158
134,1183
135,1119
136,1161
137,1144
138,1180
139,1192
140,1148
141,1189
142,1122
143,1156
144,1192
145,1122
146,1183
147,1145
148,1158
149,1192
150,1153
151,1158
152,1192
153,1148
154,1153
155,1192
156,1148
157,1149
158,1119
159,1148
160,1149
161,1176
162,1195
163,1114
164,1149
165,1156
166,1158
167,1192
168,1117
169,1150
170,1119
171,1148
172,1153
173,1158
174,1183
175,1192
176,1192
177,1117
178,1145
179,1136
180,1153
181,1168
182,1115
183,1125
184,1145
185,1122
186,1153
187,1156
188,1153
189,1156
190,1180
191,1161
192,1183
193,1192
194,1130
195,1153
196,1156
197,1126
198,1153
199,1153
200,1131
201,1148
202,1119
203,1122
204,1126
205,1197
