Time,java.util.regex.Pattern$Slice Data
0,852
1,1018
2,928
3,990
4,1001
5,838
6,1038
7,1018
8,820
9,1019
10,964
11,992
12,868
13,1036
14,1033
15,923
16,1038
17,1011
18,852
19,990
20,831
21,939
22,1040
23,952
24,1044
25,1094
26,1060
27,835
28,858
29,871
30,875
31,1078
32,858
33,891
34,1050
35,1055
36,1044
37,1021
38,874
39,848
40,1122
41,947
42,898
43,871
44,871
45,840
46,1085
47,871
48,1102
49,1028
50,834
51,1055
52,961
53,1006
54,881
55,1095
56,1045
57,943
58,834
59,852
60,1070
61,917
62,941
63,1087
64,994
65,1014
66,863
67,854
68,1055
69,893
70,861
71,1007
72,1158
73,1086
74,863
75,999
76,990
77,1062
78,1177
79,1107
80,845
81,956
82,866
83,963
84,1035
85,937
86,996
87,1037
88,936
89,1027
90,1036
91,906
92,939
93,993
94,957
95,844
96,1230
97,1222
98,1035
99,1035
100,1017
101,841
102,1156
103,1187
104,931
105,923
106,840
107,1033
108,993
109,892
110,1043
111,1014
112,928
113,1087
114,1020
115,879
116,1194
117,932
118,1258
119,1129
120,867
121,1174
122,1204
123,968
124,1248
125,1088
126,1254
127,1065
128,965
129,1055
130,870
131,1145
132,1270
133,1068
134,1237
135,908
136,1135
137,971
138,1173
139,1246
140,1031
141,1249
142,879
143,1084
144,1278
145,942
146,1244
147,998
148,1077
149,1279
150,1036
151,1083
152,1279
153,1029
154,1063
155,1272
156,986
157,1014
158,841
159,1016
160,1015
161,1202
162,1298
163,848
164,993
165,1099
166,1110
167,1246
168,875
169,1008
170,843
171,987
172,1099
173,1072
174,1195
175,1301
176,1287
177,875
178,1003
179,987
180,1048
181,1164
182,850
183,936
184,1021
185,950
186,1055
187,1092
188,1041
189,1102
190,1209
191,1102
192,1206
193,1255
194,968
195,1047
196,1064
197,962
198,1031
199,1056
200,949
201,997
202,888
203,881
204,910
205,1323
