Time,java.util.regex.Pattern Data
0,1169
1,1331
2,1257
3,1296
4,1298
5,1140
6,1358
7,1327
8,1106
9,1316
10,1244
11,1283
12,1165
13,1339
14,1343
15,1201
16,1338
17,1315
18,1134
19,1277
20,1124
21,1242
22,1344
23,1278
24,1347
25,1414
26,1380
27,1113
28,1143
29,1143
30,1170
31,1397
32,1168
33,1173
34,1377
35,1364
36,1346
37,1315
38,1172
39,1131
40,1436
41,1258
42,1181
43,1155
44,1188
45,1115
46,1404
47,1170
48,1431
49,1323
50,1108
51,1361
52,1239
53,1309
54,1174
55,1419
56,1368
57,1226
58,1108
59,1141
60,1390
61,1204
62,1265
63,1413
64,1281
65,1322
66,1133
67,1141
68,1384
69,1170
70,1154
71,1301
72,1453
73,1415
74,1168
75,1284
76,1289
77,1373
78,1485
79,1448
80,1123
81,1228
82,1160
83,1263
84,1334
85,1257
86,1300
87,1336
88,1241
89,1335
90,1332
91,1225
92,1233
93,1281
94,1233
95,1124
96,1560
97,1533
98,1355
99,1330
100,1302
101,1118
102,1484
103,1495
104,1235
105,1230
106,1121
107,1343
108,1289
109,1189
110,1365
111,1316
112,1207
113,1412
114,1323
115,1169
116,1507
117,1252
118,1586
119,1436
120,1161
121,1497
122,1525
123,1270
124,1570
125,1407
126,1600
127,1377
128,1246
129,1364
130,1167
131,1475
132,1623
133,1388
134,1576
135,1222
136,1484
137,1253
138,1480
139,1579
140,1325
141,1580
142,1182
143,1406
144,1623
145,1266
146,1588
147,1278
148,1403
149,1623
150,1339
151,1410
152,1623
153,1323
154,1374
155,1612
156,1263
157,1322
158,1124
159,1303
160,1323
161,1522
162,1653
163,1128
164,1289
165,1426
166,1447
167,1579
168,1167
169,1297
170,1126
171,1260
172,1422
173,1393
174,1513
175,1654
176,1638
177,1167
178,1281
179,1275
180,1354
181,1460
182,1136
183,1217
184,1307
185,1276
186,1364
187,1418
188,1342
189,1431
190,1525
191,1439
192,1527
193,1591
194,1266
195,1350
196,1381
197,1276
198,1327
199,1365
200,1246
201,1277
202,1189
203,1180
204,1185
205,1692
