Time,java.util.zip.Inflater Data
0,332
1,416
2,439
3,415
4,410
5,371
6,439
7,431
8,94
9,262
10,211
11,270
12,227
13,254
14,282
15,246
16,286
17,264
18,222
19,239
20,139
21,292
22,311
23,311
24,315
25,363
26,355
27,235
28,264
29,235
30,371
31,367
32,196
33,280
34,381
35,372
36,356
37,355
38,320
39,280
40,384
41,313
42,308
43,300
44,156
45,248
46,332
47,292
48,344
49,308
50,248
51,336
52,268
53,312
54,272
55,344
56,232
57,312
58,268
59,288
60,377
61,284
62,316
63,372
64,316
65,336
66,240
67,304
68,288
69,328
70,340
71,400
72,432
73,428
74,208
75,327
76,323
77,347
78,395
79,403
80,251
81,300
82,303
83,319
84,339
85,335
86,146
87,330
88,298
89,322
90,302
91,298
92,286
93,295
94,294
95,242
96,402
97,402
98,172
99,300
100,304
101,264
102,392
103,368
104,296
105,272
106,242
107,336
108,316
109,276
110,188
111,332
112,292
113,356
114,354
115,280
116,392
117,330
118,440
119,380
120,292
121,424
122,324
123,430
124,508
125,472
126,560
127,464
128,404
129,460
130,380
131,492
132,560
133,468
134,280
135,348
136,446
137,348
138,408
139,472
140,357
141,468
142,334
143,416
144,489
145,392
146,384
147,448
148,524
149,600
150,472
151,524
152,596
153,476
154,512
155,592
156,448
157,465
158,404
159,460
160,460
161,528
162,596
163,416
164,444
165,512
166,548
167,576
168,416
169,465
170,332
171,360
172,432
173,440
174,460
175,500
176,508
177,352
178,372
179,384
180,410
181,420
182,400
183,412
184,444
185,436
186,476
187,468
188,472
189,504
190,528
191,508
192,524
193,548
194,417
195,445
196,440
197,424
198,444
199,464
200,404
201,413
202,408
203,400
204,380
205,596
