Time,java.util.zip.ZipFile$ZipFileInflaterInputStream Data
0,162
1,248
2,278
3,249
4,244
5,205
6,273
7,265
8,173
9,124
10,181
11,138
12,165
13,193
14,157
15,197
16,175
17,133
18,152
19,63
20,298
21,235
22,235
23,239
24,287
25,279
26,159
27,188
28,159
29,298
30,291
31,120
32,204
33,305
34,296
35,280
36,279
37,244
38,204
39,308
40,237
41,232
42,224
43,80
44,172
45,256
46,216
47,268
48,232
49,172
50,260
51,192
52,236
53,196
54,268
55,156
56,236
57,192
58,212
59,301
60,208
61,240
62,296
63,240
64,260
65,164
66,228
67,212
68,252
69,264
70,324
71,356
72,352
73,132
74,251
75,247
76,271
77,319
78,327
79,175
80,224
81,227
82,243
83,263
84,259
85,254
86,222
87,246
88,226
89,222
90,210
91,219
92,218
93,166
94,326
95,326
96,96
97,224
98,228
99,188
100,316
101,292
102,220
103,196
104,166
105,260
106,240
107,200
108,112
109,256
110,216
111,280
112,278
113,204
114,316
115,254
116,364
117,304
118,216
119,348
120,248
121,354
122,432
123,396
124,484
125,388
126,328
127,384
128,304
129,416
130,484
131,392
132,204
133,272
134,370
135,272
136,332
137,396
138,281
139,392
140,258
141,340
142,413
143,316
144,308
145,372
146,448
147,524
148,396
149,448
150,520
151,400
152,436
153,516
154,372
155,389
156,328
157,384
158,384
159,452
160,520
161,340
162,368
163,436
164,472
165,500
166,340
167,389
168,256
169,284
170,356
171,364
172,384
173,424
174,432
175,276
176,296
177,308
178,334
179,344
180,324
181,336
182,368
183,360
184,400
185,392
186,396
187,428
188,452
189,432
190,448
191,472
192,343
193,369
194,364
195,348
196,368
197,388
198,328
199,337
200,332
201,324
202,304
203,521
