Time,javax.management.MBeanOperationInfo Data
0,263
1,263
2,263
3,263
4,263
5,263
6,263
7,263
8,263
9,263
10,263
11,263
12,263
13,263
14,263
15,263
16,263
17,263
18,263
19,263
20,263
21,263
22,263
23,263
24,263
25,263
26,263
27,263
28,263
29,263
30,263
31,263
32,263
33,263
34,263
35,263
36,263
37,263
38,263
39,263
40,263
41,263
42,263
43,263
44,263
45,263
46,263
47,263
48,263
49,263
50,263
51,263
52,263
53,263
54,263
55,263
56,263
57,263
58,263
59,263
60,263
61,263
62,263
63,263
64,263
65,263
66,263
67,263
68,263
69,263
70,263
71,263
72,263
73,263
74,263
75,263
76,263
77,263
78,263
79,263
80,263
81,263
82,263
83,263
84,263
85,263
86,263
87,263
88,263
89,263
90,263
91,263
92,263
93,263
94,263
95,263
96,263
97,263
98,263
99,263
100,263
101,263
102,263
103,263
104,263
105,263
106,263
107,263
108,263
109,263
110,263
111,263
112,263
113,263
114,263
115,263
116,263
117,263
118,263
119,263
120,263
121,263
122,263
123,263
124,263
125,263
126,263
127,263
128,263
129,263
130,263
131,263
132,263
133,263
134,263
135,263
136,263
137,263
138,263
139,263
140,263
141,263
142,263
143,263
144,263
145,263
146,263
147,263
148,263
149,263
150,263
151,263
152,263
153,263
154,263
155,263
156,263
157,263
158,263
159,263
160,263
161,263
162,263
163,263
164,263
165,263
166,263
167,263
168,263
169,263
170,263
171,263
172,263
173,263
174,263
175,263
176,263
177,263
178,263
179,263
180,263
181,263
182,263
183,263
184,263
185,263
186,263
187,263
188,263
189,263
190,263
191,263
192,263
193,263
194,263
195,263
196,263
197,263
198,263
199,263
200,263
201,263
202,263
203,263
204,263
205,263
