Time,javax.management.openmbean.CompositeDataSupport Data
0,638
1,792
2,902
3,1012
4,1122
5,1232
6,1320
7,1430
8,1584
9,1672
10,1782
11,1870
12,1980
13,2068
14,2156
15,2266
16,2354
17,2442
18,2552
19,2640
20,2772
21,2860
22,2948
23,3036
24,3124
25,3212
26,3300
27,3410
28,3498
29,3586
30,3652
31,3718
32,3850
33,3938
34,4004
35,4092
36,4180
37,4268
38,4356
39,4444
40,4510
41,4598
42,4686
43,4774
44,4884
45,4972
46,5038
47,5126
48,5192
49,5280
50,5368
51,5434
52,5522
53,5588
54,5676
55,5742
56,5852
57,5940
58,6028
59,6094
60,6160
61,6248
62,6314
63,6380
64,6468
65,6534
66,6622
67,6688
68,6776
69,6864
70,6930
71,6996
72,7062
73,7128
74,7238
75,7304
76,7370
77,7436
78,7502
79,7568
80,7656
81,7722
82,7788
83,7854
84,7920
85,7986
86,8096
87,8162
88,8228
89,8294
90,8360
91,8426
92,8492
93,8558
94,8624
95,8690
96,8734
97,8800
98,8910
99,8976
100,9042
101,9108
102,9152
103,9218
104,9284
105,9350
106,9416
107,9460
108,9526
109,9592
110,9680
111,9746
112,9812
113,9856
114,9922
115,9988
116,10032
117,10098
118,10142
119,10208
120,10274
121,10318
122,10406
123,10472
124,10516
125,10582
126,10626
127,10692
128,10758
129,10802
130,10868
131,10912
132,10956
133,11022
134,11110
135,11176
136,11220
137,11286
138,11330
139,11374
140,11440
141,11484
142,11550
143,11594
144,11638
145,11704
146,11770
147,11836
148,11880
149,11924
150,11990
151,12034
152,12078
153,12144
154,12188
155,12232
156,12298
157,12342
158,12430
159,12474
160,12518
161,12562
162,12606
163,12672
164,12716
165,12760
166,12804
167,12848
168,12914
169,12958
170,13046
171,13090
172,13134
173,13178
174,13222
175,13266
176,13310
177,13376
178,13420
179,13464
180,13508
181,13552
182,13640
183,13684
184,13728
185,13772
186,13816
187,13860
188,13904
189,13948
190,13992
191,14036
192,14080
193,14124
194,14212
195,14256
196,14300
197,14344
198,14388
199,14432
200,14476
201,14520
202,14564
203,14608
204,14652
205,14674
