Time,javax.naming.NamingException Data
0,319
1,621
2,477
3,495
4,503
5,95
6,684
7,589
8,573
9,222
10,372
11,183
12,569
13,647
14,250
15,612
16,483
17,92
18,376
19,92
20,567
21,592
22,587
23,632
24,937
25,841
26,133
27,82
28,266
29,826
30,199
31,174
32,669
33,695
34,635
35,529
36,198
37,989
38,494
39,207
40,270
41,282
42,794
43,197
44,860
45,545
46,715
47,159
48,380
49,312
50,935
51,741
52,447
53,72
54,744
55,372
56,534
57,860
58,396
59,403
60,83
61,767
62,249
63,142
64,508
65,785
66,847
67,165
68,343
69,530
70,734
71,878
72,962
73,69
74,159
75,162
76,510
77,589
78,540
79,409
80,622
81,405
82,551
83,612
84,382
85,316
86,391
87,165
88,69
89,1140
90,1120
91,672
92,589
93,499
94,1165
95,879
96,382
97,344
98,629
99,331
100,303
101,718
102,497
103,336
104,856
105,528
106,297
107,1025
108,494
109,1284
110,850
111,175
112,1142
113,1064
114,550
115,1238
116,935
117,1292
118,764
119,182
120,679
121,176
122,1037
123,1361
124,744
125,1284
126,536
127,1028
128,205
129,829
130,1211
131,566
132,1226
133,211
134,837
135,1335
136,540
137,1307
138,333
139,790
140,1379
141,569
142,813
143,1379
144,566
145,734
146,1344
147,280
148,406
149,490
150,466
151,998
152,1492
153,69
154,323
155,1007
156,1007
157,1217
158,142
159,473
160,303
161,912
162,767
163,980
164,1437
165,1426
166,142
167,442
168,342
169,638
170,821
171,95
172,387
173,533
174,586
175,682
176,814
177,649
178,860
179,1118
180,916
181,969
182,1241
183,554
184,639
185,708
186,582
187,580
188,689
189,385
190,349
191,312
192,254
193,187
194,1554
