Time,javax.security.auth.SubjectDomainCombiner$WeakKeyValueMap Data
0,100
1,101
2,117
3,106
4,100
5,106
6,71
7,112
8,118
9,73
10,116
11,114
12,96
13,113
14,117
15,119
16,156
17,134
18,150
19,59
20,57
21,140
22,136
23,119
24,108
25,73
26,44
27,162
28,104
29,63
30,58
31,72
32,40
33,149
34,74
35,162
36,108
37,143
38,109
39,69
40,163
41,123
42,45
43,143
44,73
45,109
46,167
47,112
48,54
49,129
50,65
51,91
52,154
53,167
54,97
55,110
56,144
57,161
58,190
59,47
60,73
61,112
62,115
63,107
64,86
65,116
66,100
67,110
68,106
69,108
70,95
71,188
72,178
73,115
74,106
75,94
76,183
77,165
78,97
79,85
80,116
81,90
82,122
83,103
84,165
85,106
86,169
87,103
88,209
89,164
90,68
91,189
92,171
93,114
94,200
95,159
96,220
97,138
98,134
99,73
100,175
101,232
102,143
103,190
104,104
105,197
106,157
107,210
108,103
109,206
110,78
111,155
112,242
113,108
114,198
115,86
116,151
117,229
118,111
119,154
120,226
121,102
122,138
123,230
124,112
125,113
126,192
127,249
128,43
129,89
130,159
131,170
132,208
133,95
134,152
135,145
136,174
137,243
138,244
139,98
140,117
141,157
142,49
143,74
144,99
145,114
146,134
147,151
148,119
149,157
150,174
151,179
152,177
153,210
154,107
155,124
156,138
157,114
158,108
159,132
160,101
161,76
162,276
