Time,javax.xml.parsers.SecuritySupport$4 Data
0,248
1,398
2,420
3,324
4,334
5,518
6,422
7,409
8,356
9,170
10,398
11,494
12,234
13,446
14,414
15,252
16,96
17,396
18,422
19,502
20,478
21,662
22,608
23,276
24,684
25,218
26,154
27,568
28,542
29,468
30,388
31,218
32,744
33,404
34,184
35,162
36,290
37,614
38,170
39,686
40,374
41,564
42,356
43,234
44,675
45,590
46,346
47,592
48,274
49,452
50,730
51,276
52,380
53,614
54,164
55,164
56,342
57,608
58,712
59,144
60,260
61,444
62,588
63,632
64,832
65,184
66,422
67,422
68,452
69,332
70,469
71,402
72,446
73,444
74,386
75,308
76,276
77,866
78,794
79,518
80,420
81,328
82,912
83,704
84,378
85,244
86,494
87,284
88,204
89,566
90,398
91,234
92,710
93,422
94,196
95,724
96,406
97,962
98,680
99,194
100,888
101,824
102,470
103,914
104,704
105,1036
106,614
107,528
108,194
109,776
110,1108
111,592
112,962
113,428
114,878
115,632
116,898
117,396
118,916
119,236
120,662
121,1090
122,452
123,986
124,248
125,640
126,1060
127,398
128,664
129,1060
130,396
131,590
132,1036
133,380
134,322
135,394
136,826
137,1156
138,284
139,750
140,778
141,898
142,326
143,210
144,680
145,616
146,738
147,1108
148,1126
149,276
150,330
151,470
152,630
153,286
154,366
155,500
156,532
157,638
158,494
159,686
160,794
161,784
162,776
163,916
164,468
165,488
166,560
167,492
168,422
169,542
170,380
171,258
172,236
173,242
174,162
175,1254
