Time,net.sf.cglib.asm.ByteVector Data
0,4815
1,4839
2,4839
3,4839
4,4839
5,4839
6,4839
7,4839
8,4839
9,4839
10,4839
11,4839
12,4839
13,4839
14,4839
15,4839
16,4839
17,4839
18,4839
19,4839
20,4839
21,4839
22,4839
23,4839
24,4839
25,4839
26,4839
27,4839
28,4839
29,4839
30,4839
31,4839
32,4839
33,4839
34,4839
35,4839
36,4839
37,4839
38,4839
39,4839
40,4839
41,4839
42,4839
43,4839
44,4839
45,4839
46,4839
47,4839
48,4839
49,4839
50,4839
51,4839
52,4839
53,4839
54,4839
55,4839
56,4839
57,4839
58,4839
59,4839
60,4839
61,4839
62,4839
63,4839
64,4839
65,4839
66,4839
67,4839
68,4839
69,4839
70,4839
71,4839
72,4839
73,4839
74,4839
75,4839
76,4839
77,4839
78,4839
79,4839
80,4839
81,4839
82,4839
83,4839
84,4839
85,4839
86,4839
87,4839
88,4839
89,4839
90,4839
91,4839
92,4839
93,4839
94,4839
95,4839
96,4839
97,4839
98,4839
99,4839
100,4839
101,4839
102,4839
103,4839
104,4839
105,4839
106,4839
107,4839
108,4839
109,4839
110,4839
111,4839
112,4839
113,4839
114,4839
115,4839
116,4839
117,4839
118,4839
119,4839
120,4839
121,4839
122,4839
123,4839
124,4839
125,4839
126,4839
127,4839
128,4839
129,4839
130,4839
131,4839
132,4839
133,4839
134,4839
135,4839
136,4839
137,4839
138,4839
139,4839
140,4839
141,4839
142,4839
143,4839
144,4839
145,4839
146,4839
147,4839
148,4839
149,4839
150,4839
151,4839
152,4839
153,4839
154,4839
155,4839
156,4839
157,4839
158,4839
159,4839
160,4839
161,4839
162,4839
163,4839
164,4839
165,4839
166,4839
167,4839
168,4839
169,4839
170,4839
171,4839
172,4839
173,4839
174,4839
175,4839
176,4839
177,4839
178,4839
179,4839
180,4839
181,4839
182,4839
183,4839
184,4839
185,4839
186,4839
187,4839
188,4839
189,4839
190,4839
191,4839
192,4839
193,4839
194,4839
195,4839
196,4839
197,4839
198,4839
199,4839
200,4839
201,4839
202,4839
203,4839
204,4839
205,4839
