Time,net.sf.cglib.asm.Edge Data
0,97932
1,104607
2,104607
3,104607
4,104607
5,104607
6,104607
7,104607
8,104607
9,104607
10,104607
11,104607
12,104607
13,104607
14,104607
15,104607
16,104607
17,104607
18,104607
19,104607
20,104607
21,104607
22,104607
23,104607
24,104607
25,104607
26,104607
27,104607
28,104607
29,104607
30,104607
31,104607
32,104607
33,104607
34,104607
35,104607
36,104607
37,104607
38,104607
39,104607
40,104607
41,104607
42,104607
43,104607
44,104607
45,104607
46,104607
47,104607
48,104607
49,104607
50,104607
51,104607
52,104607
53,104607
54,104607
55,104607
56,104607
57,104607
58,104607
59,104607
60,104607
61,104607
62,104607
63,104607
64,104607
65,104607
66,104607
67,104607
68,104607
69,104607
70,104607
71,104607
72,104607
73,104607
74,104607
75,104607
76,104607
77,104607
78,104607
79,104607
80,104607
81,104607
82,104607
83,104607
84,104607
85,104607
86,104607
87,104607
88,104607
89,104607
90,104607
91,104607
92,104607
93,104607
94,104607
95,104607
96,104607
97,104607
98,104607
99,104607
100,104607
101,104607
102,104607
103,104607
104,104607
105,104607
106,104607
107,104607
108,104607
109,104607
110,104607
111,104607
112,104607
113,104607
114,104607
115,104607
116,104607
117,104607
118,104607
119,104607
120,104607
121,104607
122,104607
123,104607
124,104607
125,104607
126,104607
127,104607
128,104607
129,104607
130,104607
131,104607
132,104607
133,104607
134,104607
135,104607
136,104607
137,104607
138,104607
139,104607
140,104607
141,104607
142,104607
143,104607
144,104607
145,104607
146,104607
147,104607
148,104607
149,104607
150,104607
151,104607
152,104607
153,104607
154,104607
155,104607
156,104607
157,104607
158,104607
159,104607
160,104607
161,104607
162,104607
163,104607
164,104607
165,104607
166,104607
167,104607
168,104607
169,104607
170,104607
171,104607
172,104607
173,104607
174,104607
175,104607
176,104607
177,104607
178,104607
179,104607
180,104607
181,104607
182,104607
183,104607
184,104607
185,104607
186,104607
187,104607
188,104607
189,104607
190,104607
191,104607
192,104607
193,104607
194,104607
195,104607
196,104607
197,104607
198,104607
199,104607
200,104607
201,104607
202,104607
203,104607
204,104607
205,104607
