Time,net.sf.cglib.asm.FieldWriter Data
0,4138
1,4138
2,4138
3,4138
4,4138
5,4138
6,4138
7,4138
8,4138
9,4138
10,4138
11,4138
12,4138
13,4138
14,4138
15,4138
16,4138
17,4138
18,4138
19,4138
20,4138
21,4138
22,4138
23,4138
24,4138
25,4138
26,4138
27,4138
28,4138
29,4138
30,4138
31,4138
32,4138
33,4138
34,4138
35,4138
36,4138
37,4138
38,4138
39,4138
40,4138
41,4138
42,4138
43,4138
44,4138
45,4138
46,4138
47,4138
48,4138
49,4138
50,4138
51,4138
52,4138
53,4138
54,4138
55,4138
56,4138
57,4138
58,4138
59,4138
60,4138
61,4138
62,4138
63,4138
64,4138
65,4138
66,4138
67,4138
68,4138
69,4138
70,4138
71,4138
72,4138
73,4138
74,4138
75,4138
76,4138
77,4138
78,4138
79,4138
80,4138
81,4138
82,4138
83,4138
84,4138
85,4138
86,4138
87,4138
88,4138
89,4138
90,4138
91,4138
92,4138
93,4138
94,4138
95,4138
96,4138
97,4138
98,4138
99,4138
100,4138
101,4138
102,4138
103,4138
104,4138
105,4138
106,4138
107,4138
108,4138
109,4138
110,4138
111,4138
112,4138
113,4138
114,4138
115,4138
116,4138
117,4138
118,4138
119,4138
120,4138
121,4138
122,4138
123,4138
124,4138
125,4138
126,4138
127,4138
128,4138
129,4138
130,4138
131,4138
132,4138
133,4138
134,4138
135,4138
136,4138
137,4138
138,4138
139,4138
140,4138
141,4138
142,4138
143,4138
144,4138
145,4138
146,4138
147,4138
148,4138
149,4138
150,4138
151,4138
152,4138
153,4138
154,4138
155,4138
156,4138
157,4138
158,4138
159,4138
160,4138
161,4138
162,4138
163,4138
164,4138
165,4138
166,4138
167,4138
168,4138
169,4138
170,4138
171,4138
172,4138
173,4138
174,4138
175,4138
176,4138
177,4138
178,4138
179,4138
180,4138
181,4138
182,4138
183,4138
184,4138
185,4138
186,4138
187,4138
188,4138
189,4138
190,4138
191,4138
192,4138
193,4138
194,4138
195,4138
196,4138
197,4138
198,4138
199,4138
200,4138
201,4138
202,4138
203,4138
204,4138
205,4138
