Time,net.sf.cglib.asm.Handler Data
0,9750
1,9825
2,9825
3,9825
4,9825
5,9825
6,9825
7,9825
8,9825
9,9825
10,9825
11,9825
12,9825
13,9825
14,9825
15,9825
16,9825
17,9825
18,9825
19,9825
20,9825
21,9825
22,9825
23,9825
24,9825
25,9825
26,9825
27,9825
28,9825
29,9825
30,9825
31,9825
32,9825
33,9825
34,9825
35,9825
36,9825
37,9825
38,9825
39,9825
40,9825
41,9825
42,9825
43,9825
44,9825
45,9825
46,9825
47,9825
48,9825
49,9825
50,9825
51,9825
52,9825
53,9825
54,9825
55,9825
56,9825
57,9825
58,9825
59,9825
60,9825
61,9825
62,9825
63,9825
64,9825
65,9825
66,9825
67,9825
68,9825
69,9825
70,9825
71,9825
72,9825
73,9825
74,9825
75,9825
76,9825
77,9825
78,9825
79,9825
80,9825
81,9825
82,9825
83,9825
84,9825
85,9825
86,9825
87,9825
88,9825
89,9825
90,9825
91,9825
92,9825
93,9825
94,9825
95,9825
96,9825
97,9825
98,9825
99,9825
100,9825
101,9825
102,9825
103,9825
104,9825
105,9825
106,9825
107,9825
108,9825
109,9825
110,9825
111,9825
112,9825
113,9825
114,9825
115,9825
116,9825
117,9825
118,9825
119,9825
120,9825
121,9825
122,9825
123,9825
124,9825
125,9825
126,9825
127,9825
128,9825
129,9825
130,9825
131,9825
132,9825
133,9825
134,9825
135,9825
136,9825
137,9825
138,9825
139,9825
140,9825
141,9825
142,9825
143,9825
144,9825
145,9825
146,9825
147,9825
148,9825
149,9825
150,9825
151,9825
152,9825
153,9825
154,9825
155,9825
156,9825
157,9825
158,9825
159,9825
160,9825
161,9825
162,9825
163,9825
164,9825
165,9825
166,9825
167,9825
168,9825
169,9825
170,9825
171,9825
172,9825
173,9825
174,9825
175,9825
176,9825
177,9825
178,9825
179,9825
180,9825
181,9825
182,9825
183,9825
184,9825
185,9825
186,9825
187,9825
188,9825
189,9825
190,9825
191,9825
192,9825
193,9825
194,9825
195,9825
196,9825
197,9825
198,9825
199,9825
200,9825
201,9825
202,9825
203,9825
204,9825
205,9825
