Time,net.sf.cglib.asm.MethodWriter Data
0,4785
1,4806
2,4806
3,4806
4,4806
5,4806
6,4806
7,4806
8,4806
9,4806
10,4806
11,4806
12,4806
13,4806
14,4806
15,4806
16,4806
17,4806
18,4806
19,4806
20,4806
21,4806
22,4806
23,4806
24,4806
25,4806
26,4806
27,4806
28,4806
29,4806
30,4806
31,4806
32,4806
33,4806
34,4806
35,4806
36,4806
37,4806
38,4806
39,4806
40,4806
41,4806
42,4806
43,4806
44,4806
45,4806
46,4806
47,4806
48,4806
49,4806
50,4806
51,4806
52,4806
53,4806
54,4806
55,4806
56,4806
57,4806
58,4806
59,4806
60,4806
61,4806
62,4806
63,4806
64,4806
65,4806
66,4806
67,4806
68,4806
69,4806
70,4806
71,4806
72,4806
73,4806
74,4806
75,4806
76,4806
77,4806
78,4806
79,4806
80,4806
81,4806
82,4806
83,4806
84,4806
85,4806
86,4806
87,4806
88,4806
89,4806
90,4806
91,4806
92,4806
93,4806
94,4806
95,4806
96,4806
97,4806
98,4806
99,4806
100,4806
101,4806
102,4806
103,4806
104,4806
105,4806
106,4806
107,4806
108,4806
109,4806
110,4806
111,4806
112,4806
113,4806
114,4806
115,4806
116,4806
117,4806
118,4806
119,4806
120,4806
121,4806
122,4806
123,4806
124,4806
125,4806
126,4806
127,4806
128,4806
129,4806
130,4806
131,4806
132,4806
133,4806
134,4806
135,4806
136,4806
137,4806
138,4806
139,4806
140,4806
141,4806
142,4806
143,4806
144,4806
145,4806
146,4806
147,4806
148,4806
149,4806
150,4806
151,4806
152,4806
153,4806
154,4806
155,4806
156,4806
157,4806
158,4806
159,4806
160,4806
161,4806
162,4806
163,4806
164,4806
165,4806
166,4806
167,4806
168,4806
169,4806
170,4806
171,4806
172,4806
173,4806
174,4806
175,4806
176,4806
177,4806
178,4806
179,4806
180,4806
181,4806
182,4806
183,4806
184,4806
185,4806
186,4806
187,4806
188,4806
189,4806
190,4806
191,4806
192,4806
193,4806
194,4806
195,4806
196,4806
197,4806
198,4806
199,4806
200,4806
201,4806
202,4806
203,4806
204,4806
205,4806
