Time,net.sf.cglib.core.Signature Data
0,3933
1,3933
2,3933
3,3933
4,3933
5,3933
6,3933
7,3933
8,3933
9,3933
10,3933
11,3933
12,3933
13,3933
14,3933
15,3933
16,3933
17,3933
18,3933
19,3933
20,3933
21,3933
22,3933
23,3933
24,3933
25,3933
26,3933
27,3933
28,3933
29,3933
30,3933
31,3933
32,3933
33,3933
34,3933
35,3933
36,3933
37,3933
38,3933
39,3933
40,3933
41,3933
42,3933
43,3933
44,3933
45,3933
46,3933
47,3933
48,3933
49,3933
50,3933
51,3933
52,3933
53,3933
54,3933
55,3933
56,3933
57,3933
58,3933
59,3933
60,3933
61,3933
62,3933
63,3933
64,3933
65,3933
66,3933
67,3933
68,3933
69,3933
70,3933
71,3933
72,3933
73,3933
74,3933
75,3933
76,3933
77,3933
78,3933
79,3933
80,3933
81,3933
82,3933
83,3933
84,3933
85,3933
86,3933
87,3933
88,3933
89,3933
90,3933
91,3933
92,3933
93,3933
94,3933
95,3933
96,3933
97,3933
98,3933
99,3933
100,3933
101,3933
102,3933
103,3933
104,3933
105,3933
106,3933
107,3933
108,3933
109,3933
110,3933
111,3933
112,3933
113,3933
114,3933
115,3933
116,3933
117,3933
118,3933
119,3933
120,3933
121,3933
122,3933
123,3933
124,3933
125,3933
126,3933
127,3933
128,3933
129,3933
130,3933
131,3933
132,3933
133,3933
134,3933
135,3933
136,3933
137,3933
138,3933
139,3933
140,3933
141,3933
142,3933
143,3933
144,3933
145,3933
146,3933
147,3933
148,3933
149,3933
150,3933
151,3933
152,3933
153,3933
154,3933
155,3933
156,3933
157,3933
158,3933
159,3933
160,3933
161,3933
162,3933
163,3933
164,3933
165,3933
166,3933
167,3933
168,3933
169,3933
170,3933
171,3933
172,3933
173,3933
174,3933
175,3933
176,3933
177,3933
178,3933
179,3933
180,3933
181,3933
182,3933
183,3933
184,3933
185,3933
186,3933
187,3933
188,3933
189,3933
190,3933
191,3933
192,3933
193,3933
194,3933
195,3933
196,3933
197,3933
198,3933
199,3933
200,3933
201,3933
202,3933
203,3933
204,3933
205,3933
