Time,org.apache.catalina.startup.HostConfig$DeployedApplication Data
0,95
1,152
2,114
3,133
4,95
5,133
6,57
7,133
8,171
9,190
10,95
11,95
12,152
13,190
14,171
15,133
16,152
17,133
18,190
19,133
20,152
21,152
22,171
23,76
24,209
25,76
26,133
27,133
28,190
29,133
30,190
31,152
32,133
33,133
34,152
35,209
36,190
37,152
38,190
39,190
40,209
41,247
42,152
43,152
44,171
45,247
46,152
47,228
48,133
49,228
50,228
51,209
52,95
53,190
54,266
55,247
56,171
57,266
58,171
59,247
60,247
61,133
62,133
63,209
64,304
65,171
66,209
67,228
68,171
69,190
70,266
71,285
72,114
73,133
74,152
75,152
76,209
77,228
78,209
79,228
80,152
81,133
82,114
83,95
84,323
