Time,org.apache.catalina.util.LifecycleSupport Data
0,989
1,989
2,989
3,989
4,989
5,989
6,989
7,989
8,989
9,989
10,989
11,989
12,989
13,989
14,989
15,989
16,989
17,989
18,989
19,989
20,989
21,989
22,989
23,989
24,989
25,989
26,989
27,989
28,989
29,989
30,989
31,989
32,989
33,989
34,989
35,989
36,989
37,989
38,989
39,989
40,989
41,989
42,989
43,989
44,989
45,989
46,989
47,989
48,989
49,989
50,989
51,989
52,989
53,989
54,989
55,989
56,989
57,989
58,989
59,989
60,989
61,989
62,989
63,989
64,989
65,989
66,989
67,989
68,989
69,989
70,989
71,989
72,989
73,989
74,989
75,989
76,989
77,989
78,989
79,989
80,989
81,989
82,989
83,989
84,989
85,989
86,989
87,989
88,989
89,989
90,989
91,989
92,989
93,989
94,989
95,989
96,989
97,989
98,989
99,989
100,989
101,989
102,989
103,989
104,989
105,989
106,989
107,989
108,989
109,989
110,989
111,989
112,989
113,989
114,989
115,989
116,989
117,989
118,989
119,989
120,989
121,989
122,989
123,989
124,989
125,989
126,989
127,989
128,989
129,989
130,989
131,989
132,989
133,989
134,989
135,989
136,989
137,989
138,989
139,989
140,989
141,989
142,989
143,989
144,989
145,989
146,989
147,989
148,989
149,989
150,989
151,989
152,989
153,989
154,989
155,989
156,989
157,989
158,989
159,989
160,989
161,989
162,989
163,989
164,989
165,989
166,989
167,989
168,989
169,989
170,989
171,989
172,989
173,989
174,989
175,989
176,989
177,989
178,989
179,989
180,989
181,989
182,989
183,989
184,989
185,989
186,989
187,989
188,989
189,989
190,989
191,989
192,989
193,989
194,989
195,989
196,989
197,989
198,989
199,989
200,989
201,989
202,989
203,989
204,989
205,989
