Time,org.apache.commons.collections.map.AbstractReferenceMap$ReferenceEntry Data
0,447
1,226
2,604
3,226
4,617
5,226
6,691
7,226
8,743
9,226
10,739
11,862
12,226
13,899
14,226
15,888
16,70
17,1010
18,226
19,1046
20,1083
21,1121
22,222
23,1220
24,226
25,1259
26,226
27,1273
28,1360
29,226
30,1412
31,1419
32,1505
33,226
34,1285
35,1369
36,226
37,1459
38,226
39,1476
40,226
41,1561
42,226
43,1638
44,382
45,1673
46,382
47,1644
48,70
49,1724
50,220
51,1747
52,1782
53,1901
54,226
55,1394
56,1449
57,1535
58,226
59,1601
60,226
61,1655
62,226
63,1688
64,226
65,1702
66,1751
67,1875
68,382
69,1871
70,226
71,1917
72,1958
73,1398
74,1429
75,70
76,1557
77,226
78,1552
79,226
80,1677
81,226
82,1693
83,226
84,1681
85,70
86,1809
87,226
88,1827
89,1881
90,1919
91,226
92,2046
93,382
94,1468
95,226
96,1491
97,226
98,1504
99,70
100,1552
101,1677
102,226
103,1676
104,226
105,1747
106,226
107,1837
108,226
109,1844
110,226
111,1903
112,1909
113,1957
114,1473
115,226
116,1448
117,226
118,1488
119,1603
120,226
121,1681
122,226
123,1717
124,226
125,1108
126,1176
127,1233
128,226
129,1316
130,226
131,1395
132,226
133,1438
134,226
135,1400
136,1473
137,1502
138,1588
139,226
140,1658
141,226
142,1687
143,226
144,1423
145,1475
146,226
147,1497
148,1574
149,226
150,1644
151,226
152,1655
153,134
154,1703
155,1773
156,226
157,1810
158,1833
159,2007
160,382
161,2058
162,382
163,1440
164,226
165,1494
166,226
167,1532
168,226
169,1526
170,70
171,1693
172,382
173,1721
174,226
175,1710
176,1763
177,226
178,1798
179,70
180,1888
181,226
182,1927
183,1967
184,226
185,1456
186,226
187,1489
188,226
189,1519
190,226
191,1618
192,226
193,1644
194,226
195,1676
196,226
197,1817
198,382
199,1782
200,226
201,1944
202,382
203,1925
204,226
205,1907
206,2069
207,382
208,1496
209,226
210,1469
211,226
212,1627
213,382
214,1626
215,382
216,1716
217,382
218,1716
219,226
220,1731
221,1812
222,226
223,1813
224,1950
225,382
226,2027
227,382
228,2023
229,226
230,1528
231,382
232,1476
233,226
234,1587
235,226
236,1580
237,1690
238,218
239,1782
240,382
241,1764
242,226
243,1874
244,382
245,1815
246,1947
247,372
248,2038
249,274
250,1987
251,226
252,1528
253,382
254,1474
255,1562
256,226
257,1685
258,382
259,1660
260,226
261,1715
262,226
263,1839
264,382
265,1814
266,226
267,1866
268,226
269,1989
270,382
271,1956
272,208
273,1993
274,1398
275,1514
276,226
277,1556
278,1661
279,226
280,1769
281,382
282,1651
283,1745
284,1860
285,382
286,1899
287,382
288,2000
289,382
290,1932
291,2017
292,226
293,1388
294,1494
295,1579
296,382
297,1617
298,226
299,1723
300,226
301,1798
302,382
303,1845
304,382
305,1770
306,1852
307,226
308,1890
309,1976
310,226
311,2052
312,226
313,1393
314,1473
315,226
316,1552
317,226
318,1582
319,226
320,1669
321,226
322,1730
323,226
324,1764
325,226
326,1844
327,226
328,1917
329,382
330,1943
331,226
332,2019
333,226
334,2100
335,382
336,1432
337,226
338,1510
339,226
340,1581
341,226
342,1586
343,226
344,1659
345,226
346,1721
347,226
348,1726
349,1803
350,1816
351,226
352,1870
353,1921
354,2100
355,382
