Time,org.apache.commons.collections.map.AbstractReferenceMap$ReferenceValues Data
0,349
1,319
2,369
3,344
4,253
5,348
6,343
7,307
8,347
9,357
10,449
11,406
12,401
13,355
14,367
15,358
16,425
17,370
18,433
19,368
20,468
21,375
22,377
23,398
24,419
25,326
26,534
27,389
28,370
29,567
30,452
31,284
32,354
33,669
34,636
35,358
36,350
37,629
38,534
39,333
40,367
41,401
42,620
43,722
44,411
45,623
46,611
47,707
48,436
49,695
50,374
51,360
52,479
53,712
54,377
55,711
56,462
57,553
58,705
59,347
60,667
61,438
62,704
63,721
64,389
65,733
66,345
67,389
68,733
69,339
70,371
71,714
72,325
73,597
74,786
75,472
76,450
77,711
78,271
79,417
80,379
81,637
82,732
83,740
84,359
85,551
86,367
87,401
88,347
89,430
90,624
91,440
92,619
93,704
94,357
95,408
96,336
97,366
98,283
99,773
