Time,org.apache.commons.collections.map.AbstractReferenceMap$ReferenceValuesIterator Data
0,243
1,199
2,812
3,243
4,342
5,243
6,748
7,243
8,715
9,243
10,843
11,243
12,739
13,243
14,799
15,243
16,589
17,568
18,227
19,162
20,810
21,243
22,785
23,243
24,134
25,752
26,243
27,676
28,93
29,683
30,243
31,299
32,243
33,809
34,243
35,345
36,243
37,824
38,243
39,1040
40,486
41,955
42,486
43,223
44,150
45,90
46,894
47,243
48,124
49,115
50,785
51,243
52,840
53,243
54,825
55,243
56,707
57,243
58,114
59,90
60,1001
61,486
62,299
63,243
64,406
65,166
66,163
67,847
68,243
69,233
70,197
71,962
72,243
73,732
74,243
75,843
76,243
77,527
78,597
79,276
80,243
81,1083
82,486
83,854
84,243
85,628
86,243
87,856
88,243
89,243
90,203
91,331
92,243
93,887
94,243
95,608
96,243
97,596
98,941
99,243
100,243
101,149
102,770
103,243
104,1233
105,243
106,873
107,243
108,118
109,563
110,652
111,243
112,846
113,243
114,1321
115,243
116,987
117,243
118,449
119,557
120,243
121,739
122,243
123,319
124,243
125,643
126,739
127,243
128,428
129,735
130,243
131,822
132,243
133,212
134,99
135,414
136,669
137,243
138,487
139,1546
140,486
141,1512
142,486
143,827
144,243
145,813
146,243
147,719
148,243
149,1439
150,486
151,1224
152,243
153,432
154,274
155,243
156,74
157,759
158,243
159,568
160,249
161,243
162,841
163,243
164,702
165,243
166,249
167,243
168,893
169,243
170,722
171,243
172,264
173,243
174,1479
175,486
176,305
177,243
178,1664
179,486
180,919
181,243
182,1430
183,486
184,1405
185,243
186,316
187,243
188,1639
189,486
190,1017
191,486
192,1585
193,486
194,850
195,243
196,526
197,828
198,243
199,113
200,1102
201,486
202,1612
203,486
204,856
205,243
206,1649
207,486
208,313
209,243
210,1007
211,243
212,541
213,1285
214,222
215,1628
216,486
217,808
218,243
219,1562
220,486
221,129
222,971
223,460
224,1569
225,322
226,319
227,243
228,1664
229,486
230,554
231,874
232,243
233,1681
234,486
235,806
236,243
237,875
238,243
239,1681
240,486
241,796
242,243
243,846
244,243
245,1651
246,486
247,617
248,205
249,608
250,773
251,243
252,668
253,1343
254,243
255,1782
256,486
257,572
258,1089
259,486
260,1040
261,486
262,1644
263,486
264,115
265,709
266,243
267,622
268,987
269,486
270,859
271,243
272,1461
273,243
274,1680
275,486
276,1692
277,486
278,115
279,682
280,243
281,517
282,827
283,243
284,1267
285,243
286,267
287,243
288,732
289,243
290,345
291,243
292,840
293,243
294,906
295,243
296,808
297,243
298,956
299,243
300,1479
301,486
302,966
303,243
304,1398
305,243
306,1635
307,486
308,665
309,243
310,824
311,243
312,916
313,243
314,630
315,243
316,790
317,243
318,838
319,243
320,451
321,640
322,243
323,200
324,147
325,156
326,1745
327,486
