Time,org.apache.commons.collections.map.AbstractReferenceMap$WeakRef Data
0,156
1,156
2,152
3,156
4,156
5,156
6,312
7,312
8,150
9,312
10,156
11,156
12,156
13,312
14,156
15,156
16,156
17,156
18,156
19,156
20,156
21,156
22,156
23,312
24,312
25,156
26,312
27,156
28,156
29,156
30,156
31,312
32,156
33,312
34,312
35,156
36,312
37,312
38,312
39,312
40,312
41,312
42,156
43,312
44,312
45,302
46,156
47,312
48,312
49,312
50,312
51,156
52,312
53,312
54,312
55,312
56,156
57,312
58,312
59,312
60,156
61,156
62,156
63,312
64,312
65,156
66,156
67,312
