Time,org.apache.commons.collections.map.ReferenceMap Data
0,86
1,76
2,350
3,76
4,166
5,76
6,320
7,76
8,297
9,76
10,370
11,315
12,76
13,345
14,76
15,254
16,269
17,87
18,74
19,349
20,76
21,344
22,76
23,77
24,322
25,76
26,308
27,54
28,289
29,76
30,139
31,76
32,348
33,76
34,168
35,76
36,358
37,76
38,450
39,151
40,407
41,151
42,79
43,73
44,61
45,402
46,73
47,65
48,356
49,76
50,368
51,76
52,359
53,76
54,294
55,76
56,68
57,52
58,426
59,151
60,139
61,76
62,187
63,65
64,94
65,371
66,95
67,75
68,434
69,307
70,76
71,369
72,76
73,234
74,279
75,124
76,76
77,469
78,151
79,376
80,76
81,272
82,76
83,378
84,86
85,76
86,158
87,76
88,399
89,254
90,76
91,279
92,420
93,76
94,76
95,54
96,327
97,76
98,535
99,390
100,66
101,245
102,286
103,76
104,371
105,76
106,568
107,453
108,192
109,242
110,76
111,313
112,76
113,151
114,76
115,285
116,313
117,78
118,205
119,323
120,78
121,355
122,78
123,121
124,193
125,288
126,78
127,204
128,670
129,153
130,637
131,153
132,359
133,76
134,351
135,76
136,299
137,76
138,630
139,151
140,535
141,207
142,124
143,76
144,42
145,334
146,76
147,259
148,107
149,76
150,368
151,76
152,305
153,76
154,107
155,76
156,402
157,316
158,76
159,117
160,76
161,621
162,151
163,143
164,76
165,723
166,151
167,412
168,624
169,151
170,612
171,150
172,76
173,708
174,151
175,437
176,151
177,696
178,151
179,375
180,76
181,234
182,361
183,76
184,67
185,480
186,151
187,713
188,151
189,378
190,712
191,151
192,135
193,76
194,463
195,244
196,554
197,706
198,151
199,348
200,76
201,668
202,151
203,77
204,439
205,146
206,705
207,152
208,76
209,722
210,151
211,241
212,390
213,734
214,151
215,346
216,76
217,390
218,734
219,151
220,340
221,76
222,372
223,76
224,715
225,151
226,271
227,67
228,283
229,326
230,76
231,304
232,598
233,787
234,151
235,259
236,473
237,151
238,451
239,151
240,712
241,151
242,65
243,295
244,76
245,272
246,418
247,151
248,380
249,638
250,733
251,151
252,741
253,151
254,65
255,279
256,76
257,243
258,360
259,76
260,552
261,119
262,76
263,307
264,76
265,168
266,76
267,368
268,76
269,403
270,348
271,76
272,431
273,625
274,151
275,441
276,620
277,705
278,151
279,295
280,76
281,358
282,76
283,409
284,76
285,285
286,76
287,337
288,76
289,367
290,76
291,216
292,284
293,86
294,76
295,85
296,86
297,774
298,151
