Time,org.apache.commons.lang.IntHashMap$Entry Data
0,356
1,356
2,356
3,356
4,356
5,356
6,356
7,356
8,356
9,356
10,356
11,356
12,356
13,356
14,356
15,356
16,356
17,356
18,356
19,356
20,356
21,356
22,356
23,356
24,356
25,356
26,356
27,356
28,356
29,356
30,356
31,356
32,356
33,356
34,356
35,356
36,356
37,356
38,356
39,356
40,356
41,356
42,356
43,356
44,356
45,356
46,356
47,356
48,356
49,356
50,356
51,356
52,356
53,356
54,356
55,356
56,356
57,356
58,356
59,356
60,356
61,356
62,356
63,356
64,356
65,356
66,356
67,356
68,356
69,356
70,356
71,356
72,356
73,356
74,356
75,356
76,356
77,356
78,356
79,356
80,356
81,356
82,356
83,356
84,356
85,356
86,356
87,356
88,356
89,356
90,356
91,356
92,356
93,356
94,356
95,356
96,356
97,356
98,356
99,356
100,356
101,356
102,356
103,356
104,356
105,356
106,356
107,356
108,356
109,356
110,356
111,356
112,356
113,356
114,356
115,356
116,356
117,356
118,356
119,356
120,356
121,356
122,356
123,356
124,356
125,356
126,356
127,356
128,356
129,356
130,356
131,356
132,356
133,356
134,356
135,356
136,356
137,356
138,356
139,356
140,356
141,356
142,356
143,356
144,356
145,356
146,356
147,356
148,356
149,356
150,356
151,356
152,356
153,356
154,356
155,356
156,356
157,356
158,356
159,356
160,356
161,356
162,356
163,356
164,356
165,356
166,356
167,356
168,356
169,356
170,356
171,356
172,356
173,356
174,356
175,356
176,356
177,356
178,356
179,356
180,356
181,356
182,356
183,356
184,356
185,356
186,356
187,356
188,356
189,356
190,356
191,356
192,356
193,356
194,356
195,356
196,356
197,356
198,356
199,356
200,356
201,356
202,356
203,356
204,356
205,356
