Time,org.apache.commons.logging.LogFactory$1 Data
0,616
1,336
2,572
3,541
4,705
5,593
6,636
7,431
8,504
9,616
10,661
11,230
12,618
13,605
14,479
15,330
16,629
17,428
18,643
19,897
20,745
21,795
22,673
23,692
24,667
25,497
26,828
27,340
28,304
29,260
30,773
31,873
32,577
33,705
34,381
35,533
36,873
37,730
38,451
39,730
40,379
41,790
42,438
43,541
44,791
45,573
46,930
47,774
48,460
49,491
50,707
51,1053
52,896
53,348
54,411
55,593
56,378
57,532
58,593
59,407
60,587
61,654
62,328
63,345
64,470
65,318
66,1216
67,1146
68,667
69,630
70,541
71,1139
72,974
73,392
74,642
75,483
76,705
77,526
78,819
79,562
80,229
81,1058
82,340
83,1335
84,853
85,1119
86,1176
87,365
88,1287
89,807
90,1305
91,734
92,389
93,669
94,943
95,1368
96,730
97,1321
98,316
99,974
100,414
101,977
102,1262
103,616
104,1225
105,876
106,1445
107,378
108,1346
109,448
110,768
111,1397
112,616
113,781
114,1397
115,606
116,707
117,1336
118,456
119,563
120,542
121,592
122,1104
123,1527
124,491
125,907
126,865
127,1275
128,486
129,481
130,764
131,743
132,1170
133,1428
134,1399
135,462
136,441
137,667
138,1005
139,264
140,566
141,428
142,681
143,824
144,642
145,873
146,1149
147,856
148,1157
149,1283
150,516
151,643
152,720
153,521
154,594
155,681
156,408
157,519
158,244
159,230
160,1523
