Time,org.apache.commons.logging.impl.WeakHashtable$Referenced Data
0,176
1,617
2,337
3,573
4,542
5,706
6,594
7,637
8,432
9,505
10,155
11,617
12,662
13,231
14,619
15,606
16,480
17,331
18,630
19,429
20,644
21,898
22,746
23,174
24,206
25,796
26,154
27,180
28,674
29,693
30,668
31,498
32,144
33,829
34,341
35,305
36,155
37,261
38,774
39,874
40,578
41,706
42,382
43,534
44,222
45,874
46,731
47,452
48,731
49,238
50,380
51,791
52,439
53,542
54,792
55,574
56,931
57,775
58,182
59,461
60,492
61,708
62,1054
63,897
64,349
65,412
66,594
67,379
68,533
69,594
70,408
71,588
72,655
73,329
74,346
75,471
76,319
77,1217
78,1147
79,668
80,631
81,542
82,1140
83,975
84,393
85,245
86,643
87,484
88,205
89,706
90,527
91,227
92,820
93,563
94,230
95,1059
96,341
97,1336
98,854
99,1120
100,1177
101,366
102,1288
103,808
104,1306
105,735
106,390
107,670
108,134
109,944
110,1369
111,731
112,1322
113,317
114,975
115,415
116,978
117,1263
118,617
119,1226
120,156
121,877
122,1446
123,379
124,1347
125,449
126,769
127,1398
128,617
129,782
130,1398
131,607
132,708
133,1337
134,457
135,564
136,543
137,593
138,1105
139,1528
140,492
141,908
142,866
143,1276
144,169
145,487
146,482
147,765
148,744
149,1171
150,1429
151,1400
152,169
153,463
154,442
155,668
156,1006
157,265
158,567
159,429
160,682
161,825
162,643
163,874
164,1150
165,857
166,1158
167,1284
168,517
169,644
170,721
171,522
172,595
173,682
174,409
175,520
176,174
177,245
178,231
179,1524
