Time,org.apache.hadoop.conf.Configuration$Resource Data
0,236
1,273
2,225
3,188
4,245
5,221
6,209
7,197
8,253
9,225
10,329
11,298
12,161
13,328
14,286
15,269
16,241
17,358
18,213
19,156
20,309
21,345
22,281
23,196
24,335
25,277
26,285
27,237
28,342
29,200
30,301
31,301
32,345
33,229
34,288
35,313
36,413
37,217
38,217
39,237
40,232
41,220
42,229
43,229
44,212
45,418
46,374
47,241
48,434
49,341
50,200
51,245
52,265
53,345
54,338
55,205
56,450
57,321
58,422
59,377
60,233
61,430
62,342
63,486
64,293
65,250
66,370
67,522
68,285
69,442
70,213
71,420
72,305
73,421
74,426
75,329
76,517
77,229
78,454
79,309
80,498
81,321
82,498
83,280
84,478
85,203
86,393
87,546
88,357
89,374
90,421
91,322
92,297
93,350
94,518
95,519
96,233
97,305
98,249
99,248
100,301
101,233
102,333
103,370
104,369
105,373
106,422
107,233
108,230
109,266
110,245
111,257
112,200
113,586
