Time,org.apache.hadoop.conf.Configuration Data
0,72
1,99
2,114
3,129
4,123
5,133
6,132
7,149
8,155
9,163
10,165
11,178
12,180
13,164
14,172
15,174
16,189
17,204
18,190
19,192
20,212
21,215
22,218
23,219
24,219
25,218
26,245
27,240
28,235
29,241
30,250
31,246
32,271
33,261
34,283
35,277
36,268
37,291
38,281
39,295
40,296
41,316
42,314
43,311
44,305
45,313
46,336
47,327
48,340
49,354
50,342
51,351
52,342
53,349
54,371
55,360
56,366
57,376
58,390
59,399
60,383
61,394
62,404
63,414
64,420
65,433
66,410
67,416
68,424
69,437
70,442
71,448
72,444
73,455
74,458
75,465
76,469
77,472
78,474
79,477
80,475
81,480
82,512
83,512
84,507
85,510
86,512
87,506
88,541
89,539
90,532
91,535
92,529
93,551
94,548
95,550
96,565
97,566
98,564
99,587
100,581
101,579
102,600
103,595
104,617
105,613
106,601
107,629
108,630
109,625
110,643
111,643
112,659
113,648
114,636
115,654
116,649
117,673
118,690
119,677
120,691
121,678
122,700
123,679
124,700
125,713
126,700
127,725
128,706
129,726
130,746
131,728
132,749
133,730
134,750
135,769
136,750
137,765
138,783
139,763
140,774
141,794
142,768
143,782
144,774
145,786
146,795
147,814
148,832
149,797
150,810
151,831
152,838
153,844
154,823
155,836
156,830
157,838
158,861
159,865
160,871
161,890
162,896
163,865
164,873
165,881
166,892
167,900
168,889
169,898
170,906
171,917
172,922
173,929
174,928
175,941
176,949
177,954
178,958
179,968
180,956
181,961
182,969
183,971
184,972
185,982
186,982
187,980
188,987
189,992
190,992
191,1037
