Time,org.apache.hadoop.fs.Path Data
0,237
1,944
2,766
3,818
4,881
5,339
6,1068
7,1048
8,227
9,950
10,844
11,837
12,477
13,1121
14,1134
15,658
16,1179
17,1151
18,412
19,1004
20,425
21,811
22,1255
23,879
24,1315
25,1426
26,1372
27,551
28,570
29,680
30,740
31,1477
32,744
33,762
34,1454
35,1486
36,1406
37,1455
38,849
39,699
40,1763
41,1182
42,911
43,839
44,948
45,772
46,1760
47,978
48,1820
49,1622
50,838
51,1676
52,1394
53,1608
54,992
55,1814
56,1743
57,1185
58,945
59,1072
60,1909
61,1213
62,1382
63,2013
64,1614
65,1770
66,1217
67,1201
68,1930
69,1273
70,1283
71,1768
72,2296
73,2167
74,1276
75,1846
76,1620
77,2060
78,2578
79,2301
80,1287
81,1785
82,1454
83,1794
84,2089
85,1694
86,2052
87,2156
88,1737
89,2126
90,2089
91,1686
92,1873
93,1946
94,1982
95,1495
96,2918
97,2946
98,2303
99,2196
100,2180
101,1557
102,2647
103,2913
104,1949
105,2108
106,1614
107,2392
108,2325
109,1829
110,2487
111,2411
112,1910
113,2644
114,2461
115,1822
116,3159
117,2141
118,3298
119,2905
120,1979
121,2929
122,3262
123,2363
124,3361
125,2787
126,3497
127,2759
128,2448
129,2760
130,2123
131,3024
132,3614
133,2932
134,3499
135,2335
136,3201
137,2582
138,3396
139,3669
140,2764
141,3692
142,2307
143,3021
144,3813
145,2539
146,3681
147,2796
148,3164
149,3860
150,2997
151,3214
152,3902
153,2953
154,3130
155,3946
156,2898
157,3056
158,2431
159,2997
160,3128
161,3712
162,4113
163,2436
164,3111
165,3392
166,3482
167,4062
168,2621
169,3172
170,2605
171,3092
172,3529
173,3501
174,3970
175,4355
176,4283
177,2747
178,3243
179,3060
180,3441
181,3816
182,2756
183,2920
184,3369
185,3112
186,3560
187,3724
188,3551
189,3757
190,4193
191,3829
192,4211
193,4422
194,3262
195,3664
196,3717
197,3309
198,3677
199,3748
200,3409
201,3554
202,3150
203,3178
204,3277
205,4844
