Time,org.apache.hadoop.fs.permission.FsPermission Data
0,236
1,188
2,167
3,192
4,246
5,237
6,181
7,158
8,179
9,243
10,226
11,245
12,231
13,155
14,244
15,254
16,273
17,239
18,274
19,258
20,262
21,219
22,248
23,306
24,161
25,291
26,299
27,245
28,240
29,142
30,218
31,275
32,258
33,306
34,325
35,165
36,225
37,259
38,178
39,348
40,330
41,218
42,263
43,387
44,339
45,141
46,182
47,243
48,230
49,253
50,224
51,200
52,170
53,158
54,411
55,424
56,255
57,202
58,194
59,318
60,395
61,179
62,226
63,209
64,257
65,216
66,290
67,217
68,405
69,444
70,352
71,337
72,418
73,182
74,433
75,276
76,473
77,265
78,148
79,259
80,338
81,485
82,306
83,437
84,375
85,149
86,378
87,490
88,201
89,484
90,272
91,507
92,444
93,188
94,314
95,495
96,243
97,315
98,495
99,201
100,264
101,502
102,175
103,225
104,192
105,236
106,406
107,522
108,209
109,300
110,328
111,490
112,208
113,163
114,303
115,307
116,408
117,536
118,517
119,185
120,142
121,246
122,337
123,195
124,262
125,300
126,240
127,299
128,397
129,333
130,399
131,483
132,255
133,269
134,243
135,263
136,177
137,179
138,571
