Time,org.apache.hadoop.hdfs.DFSClient Data
0,104
1,92
2,81
3,90
4,26
5,110
6,105
7,88
8,72
9,70
10,32
11,107
12,102
13,47
14,109
15,99
16,76
17,47
18,108
19,58
20,111
21,122
22,109
23,21
24,36
25,123
26,29
27,115
28,115
29,102
30,106
31,34
32,129
33,68
34,34
35,122
36,33
37,126
38,105
39,109
40,69
41,96
42,122
43,112
44,27
45,129
46,52
47,137
48,81
49,99
50,30
51,29
52,113
53,33
54,85
55,146
56,138
57,92
58,53
59,116
60,172
61,143
62,68
63,33
64,72
65,107
66,49
67,95
68,108
69,47
70,100
71,95
72,50
73,64
74,64
75,72
76,186
77,189
78,109
79,96
80,92
81,137
82,176
83,48
84,84
85,102
86,91
87,111
88,96
89,128
90,97
91,179
92,51
93,200
94,151
95,34
96,143
97,185
98,73
99,194
100,123
101,207
102,118
103,71
104,113
105,33
106,140
107,214
108,129
109,194
110,53
111,151
112,72
113,171
114,208
115,95
116,210
117,37
118,121
119,220
120,54
121,197
122,88
123,133
124,217
125,107
126,134
127,217
128,95
129,117
130,217
131,80
132,99
133,23
134,90
135,101
136,169
137,225
138,91
139,129
140,141
141,208
142,98
143,23
144,76
145,127
146,130
147,179
148,225
149,224
150,87
151,51
152,110
153,146
154,21
155,93
156,56
157,115
158,125
159,106
160,126
161,180
162,141
163,180
164,210
165,55
166,112
167,118
168,58
169,105
170,116
171,70
172,84
173,37
174,38
175,45
176,244
