Time,org.apache.hadoop.hdfs.DFSOutputStream$Packet Data
0,1314
1,1059
2,640
3,688
4,245
5,819
6,1035
7,640
8,638
9,651
10,628
11,920
12,1266
13,1316
14,1266
15,591
16,636
17,1069
18,640
19,1314
20,1318
21,1268
22,253
23,1318
24,628
25,1282
26,1316
27,697
28,1314
29,628
30,1324
31,645
32,630
33,1324
34,628
35,1326
36,1314
37,1261
38,578
39,1201
40,1318
41,1316
42,628
43,1505
44,640
45,1942
46,465
47,778
48,626
49,1316
50,628
51,640
52,1337
53,1944
54,699
55,642
56,1316
57,1952
58,1946
59,529
60,630
61,651
62,897
63,640
64,1312
65,1316
66,638
67,812
68,690
69,680
70,649
71,638
72,1726
73,2002
74,1316
75,690
76,688
77,1326
78,1340
79,638
80,764
81,1266
82,1151
83,1316
84,955
85,1325
86,972
87,1952
88,640
89,2004
90,1337
91,628
92,1334
93,2000
94,649
95,2002
96,1318
97,2308
98,1316
99,237
100,1316
101,628
102,1334
103,2200
104,1719
105,2004
106,1268
107,1954
108,259
109,1915
110,2630
111,690
112,2577
113,630
114,1318
115,2632
116,640
117,2006
118,688
119,1424
120,2324
121,1042
122,1538
123,2179
124,690
125,1316
126,2630
127,686
128,1154
129,434
130,688
131,1268
132,1961
133,2638
134,1191
135,1326
136,1946
137,2630
138,879
139,369
140,638
141,1324
142,1942
143,1954
144,2640
145,2634
146,686
147,644
148,942
149,1333
150,688
151,640
152,1316
153,1324
154,1266
155,1326
156,1952
157,1944
158,1677
159,2015
160,640
161,1314
162,1318
163,640
164,1312
165,1316
166,649
167,686
168,630
169,634
170,3262
