Time,org.apache.hadoop.hdfs.protocol.DatanodeID Data
0,308
1,188
2,247
3,247
4,76
5,341
6,314
7,265
8,202
9,266
10,85
11,311
12,326
13,144
14,323
15,311
16,223
17,199
18,317
19,241
20,323
21,371
22,350
23,87
24,121
25,377
26,97
27,111
28,350
29,338
30,289
31,299
32,97
33,446
34,223
35,117
36,118
37,434
38,85
39,455
40,305
41,304
42,196
43,302
44,365
45,350
46,153
47,70
48,399
49,132
50,229
51,426
52,232
53,311
54,81
55,70
56,356
57,102
58,85
59,247
60,486
61,423
62,105
63,248
64,247
65,350
66,528
67,456
68,190
69,91
70,223
71,317
72,226
73,290
74,320
75,214
76,314
77,274
78,139
79,205
80,229
81,196
82,582
83,555
84,332
85,268
86,247
87,491
88,537
89,208
90,152
91,326
92,281
93,123
94,344
95,299
96,132
97,392
98,305
99,543
100,217
101,609
102,458
103,91
104,494
105,573
106,235
107,594
108,371
109,664
110,356
111,205
112,338
113,91
114,479
115,685
116,399
117,603
118,139
119,540
120,211
121,522
122,637
123,262
124,640
125,106
126,371
127,688
128,229
129,612
130,235
131,414
132,679
133,311
134,420
135,679
136,262
137,350
138,667
139,214
140,311
141,55
142,241
143,314
144,579
145,703
146,281
147,389
148,441
149,637
150,111
151,248
152,55
153,214
154,440
155,405
156,552
157,760
158,691
159,111
160,226
161,250
162,329
163,488
164,144
165,253
166,241
167,338
168,434
169,317
170,455
171,558
172,441
173,567
174,640
175,223
176,323
177,347
178,229
179,302
180,338
181,223
182,232
183,106
184,109
185,126
186,776
