Time,org.apache.hadoop.hdfs.protocol.LocatedBlock Data
0,134
1,112
2,111
3,150
4,137
5,121
6,90
7,120
8,135
9,145
10,142
11,136
12,101
13,138
14,109
15,141
16,164
17,155
18,167
19,154
20,148
21,130
22,129
23,200
24,194
25,204
26,132
27,137
28,88
29,132
30,161
31,154
32,171
33,103
34,184
35,105
36,136
37,157
38,112
39,218
40,182
41,110
42,114
43,154
44,234
45,198
46,85
47,138
48,102
49,125
50,139
51,96
52,138
53,124
54,89
55,104
56,87
57,259
58,245
59,145
60,121
61,111
62,222
63,237
64,93
65,144
66,122
67,151
68,131
69,173
70,134
71,240
72,271
73,203
74,223
75,254
76,104
77,264
78,164
79,292
80,157
81,92
82,148
83,214
84,302
85,171
86,268
87,238
88,95
89,231
90,277
91,118
92,279
93,164
94,302
95,103
96,272
97,105
98,178
99,298
100,135
101,181
102,298
103,118
104,154
105,292
106,95
107,136
108,108
109,137
110,256
111,308
112,122
113,171
114,192
115,277
116,106
117,96
118,197
119,175
120,244
121,336
122,303
123,101
124,114
125,144
126,219
127,114
128,109
129,148
130,194
131,139
132,204
133,248
134,191
135,252
136,279
137,141
138,152
139,131
140,148
141,98
142,104
143,337
