Time,org.apache.hadoop.hdfs.protocol.proto.ClientNamenodeProtocolProtos$GetFileInfoResponseProto Data
0,293
1,165
2,255
3,267
4,303
5,295
6,271
7,249
8,233
9,293
10,297
11,171
12,297
13,299
14,249
15,163
16,295
17,151
18,307
19,321
20,305
21,111
22,323
23,105
24,305
25,311
26,295
27,299
28,429
29,185
30,119
31,393
32,399
33,295
34,309
35,239
36,287
37,317
38,315
39,131
40,337
41,125
42,141
43,355
44,251
45,289
46,129
47,317
48,105
49,265
50,491
51,353
52,77
53,279
54,169
55,315
56,547
57,363
58,237
59,213
60,295
61,141
62,295
63,305
64,165
65,293
66,275
67,205
68,215
69,247
70,565
71,569
72,309
73,273
74,267
75,443
76,531
77,163
78,147
79,297
80,281
81,99
82,313
83,289
84,111
85,343
86,291
87,563
88,143
89,585
90,473
91,441
92,573
93,217
94,581
95,323
96,607
97,317
98,241
99,311
100,411
101,613
102,337
103,583
104,447
105,243
106,547
107,607
108,271
109,601
110,321
111,623
112,141
113,585
114,261
115,341
116,613
117,293
118,343
119,613
120,271
121,315
122,619
123,255
124,289
125,265
126,299
127,537
128,627
129,281
130,325
131,351
132,607
133,87
134,251
135,253
136,403
137,339
138,563
139,699
140,625
141,87
142,261
143,183
144,299
145,493
146,115
147,269
148,145
149,311
150,411
151,305
152,399
153,559
154,359
155,559
156,601
157,171
158,307
159,313
160,171
161,301
162,311
163,211
164,261
165,165
166,657
