Time,org.apache.hadoop.hdfs.protocol.proto.DataTransferProtos$PipelineAckProto Data
0,1315
1,1061
2,641
3,689
4,247
5,821
6,1037
7,641
8,639
9,652
10,629
11,922
12,1267
13,1317
14,1267
15,593
16,637
17,1071
18,641
19,1315
20,1319
21,1269
22,255
23,1319
24,629
25,1284
26,1317
27,698
28,1315
29,629
30,1325
31,647
32,631
33,1325
34,629
35,1327
36,1315
37,1180
38,580
39,1203
40,1319
41,1317
42,629
43,1507
44,641
45,1943
46,467
47,780
48,627
49,1317
50,629
51,641
52,1338
53,1945
54,700
55,643
56,1317
57,1953
58,1947
59,534
60,633
61,654
62,901
63,643
64,1313
65,1317
66,639
67,814
68,691
69,681
70,650
71,639
72,1728
73,2003
74,1317
75,691
76,689
77,1327
78,1342
79,639
80,766
81,1267
82,1153
83,1317
84,957
85,1326
86,974
87,1953
88,641
89,2005
90,1338
91,629
92,1335
93,2001
94,650
95,2003
96,1319
97,2310
98,1317
99,239
100,1317
101,629
102,1335
103,2202
104,1721
105,2005
106,1231
107,1955
108,261
109,1915
110,2631
111,691
112,2579
113,631
114,1319
115,2633
116,641
117,2007
118,689
119,1426
120,2326
121,1044
122,1540
123,2181
124,691
125,1317
126,2631
127,687
128,1156
129,436
130,689
131,1269
132,1962
133,2639
134,1193
135,1327
136,1947
137,2631
138,881
139,371
140,639
141,1325
142,1943
143,1955
144,2641
145,2635
146,687
147,645
148,944
149,1334
150,689
151,641
152,1317
153,1325
154,1267
155,1327
156,1953
157,1945
158,1679
159,2016
160,641
161,1315
162,1319
163,641
164,1313
165,1317
166,650
167,687
168,631
169,635
170,3263
