Time,org.apache.hadoop.hdfs.protocol.proto.HdfsProtos$DatanodeIDProto Data
0,65
1,345
2,213
3,272
4,276
5,87
6,380
7,351
8,290
9,225
10,299
11,98
12,350
13,361
14,165
15,362
16,346
17,244
18,220
19,356
20,266
21,362
22,414
23,387
24,94
25,130
26,420
27,110
28,122
29,391
30,379
31,326
32,338
33,110
34,495
35,252
36,128
37,61
38,133
39,483
40,98
41,506
42,344
43,343
44,215
45,335
46,408
47,391
48,168
49,81
50,448
51,145
52,254
53,477
54,255
55,346
56,88
57,81
58,397
59,111
60,98
61,272
62,545
63,476
64,116
65,285
66,272
67,391
68,587
69,511
70,209
71,104
72,256
73,356
74,249
75,327
76,361
77,237
78,347
79,305
80,160
81,238
82,250
83,219
84,645
85,620
86,373
87,299
88,276
89,542
90,598
91,231
92,179
93,359
94,312
95,134
96,385
97,330
98,149
99,441
100,336
101,604
102,242
103,678
104,519
105,104
106,551
107,638
108,268
109,661
110,414
111,737
112,397
113,226
114,379
115,104
116,538
117,760
118,448
119,672
120,160
121,603
122,232
123,577
124,716
125,293
126,717
127,121
128,414
129,769
130,254
131,683
132,264
133,465
134,758
135,350
136,471
137,758
138,293
139,391
140,746
141,241
142,346
143,64
144,270
145,351
146,648
147,790
148,312
149,440
150,496
151,716
152,122
153,277
154,64
155,237
156,489
157,454
158,615
159,849
160,774
161,122
162,253
163,279
164,368
165,545
166,50
167,161
168,282
169,266
170,379
171,483
172,352
173,506
174,617
175,494
176,628
177,717
178,248
179,362
180,390
181,254
182,339
183,379
184,256
185,259
186,121
187,126
188,147
189,871
