Time,org.apache.hadoop.hdfs.protocol.proto.HdfsProtos$FsPermissionProto Data
0,228
1,130
2,189
3,197
4,230
5,228
6,193
7,170
8,173
9,230
10,224
11,109
12,230
13,209
14,185
15,131
16,230
17,123
18,234
19,244
20,247
21,69
22,238
23,232
24,236
25,212
26,234
27,327
28,147
29,290
30,292
31,232
32,218
33,162
34,203
35,254
36,236
37,267
38,273
39,187
40,205
41,76
42,236
43,86
44,193
45,367
46,275
47,198
48,136
49,236
50,397
51,277
52,162
53,169
54,230
55,211
56,236
57,112
58,224
59,199
60,148
61,166
62,170
63,422
64,428
65,236
66,199
67,197
68,329
69,382
70,112
71,125
72,224
73,201
74,236
75,222
76,251
77,222
78,424
79,123
80,432
81,342
82,335
83,407
84,169
85,430
86,259
87,459
88,236
89,164
90,236
91,325
92,461
93,267
94,432
95,335
96,164
97,393
98,448
99,199
100,463
101,238
102,450
103,434
104,176
105,269
106,465
107,230
108,269
109,465
110,199
111,236
112,469
113,174
114,205
115,197
116,211
117,400
118,475
119,201
120,267
121,292
122,448
123,197
124,170
125,315
126,267
127,405
128,525
129,473
130,195
131,140
132,230
133,360
134,197
135,236
136,300
137,230
138,292
139,418
140,275
141,399
142,463
143,136
144,234
145,238
146,135
147,232
148,236
149,148
150,174
151,109
152,506
