Time,org.apache.hadoop.hdfs.server.datanode.CachingStrategy Data
0,214
1,218
2,222
3,246
4,230
5,230
6,212
7,244
8,252
9,224
10,258
11,274
12,292
13,276
14,184
15,232
16,344
17,286
18,190
19,216
20,372
21,378
22,218
23,352
24,222
25,256
26,358
27,400
28,302
29,370
30,388
31,414
32,236
33,226
34,428
35,258
36,388
37,302
38,342
39,416
40,420
41,440
42,394
43,266
44,434
45,268
46,434
47,234
48,434
49,338
50,450
51,282
52,416
53,260
54,358
55,450
56,448
57,292
58,230
59,250
60,252
61,360
62,282
63,360
64,420
65,224
66,236
67,232
68,488
