Time,org.apache.hadoop.hdfs.util.ByteBufferOutputStream Data
0,1310
1,1053
2,640
3,688
4,237
5,802
6,1021
7,640
8,638
9,651
10,628
11,911
12,1266
13,1316
14,1266
15,579
16,636
17,1059
18,640
19,1314
20,1318
21,1268
22,248
23,1318
24,628
25,1277
26,1316
27,697
28,1314
29,628
30,1324
31,644
32,630
33,1324
34,628
35,1326
36,1314
37,1200
38,564
39,1194
40,1318
41,1316
42,628
43,1491
44,640
45,1942
46,456
47,768
48,626
49,1316
50,628
51,640
52,1337
53,1944
54,699
55,641
56,1316
57,1952
58,1946
59,526
60,628
61,649
62,887
63,638
64,1312
65,1316
66,638
67,800
68,690
69,680
70,649
71,638
72,1714
73,2001
74,1316
75,690
76,688
77,1326
78,1339
79,638
80,746
81,1265
82,1138
83,1316
84,942
85,1325
86,965
87,1952
88,640
89,2004
90,1337
91,628
92,1334
93,2000
94,649
95,2002
96,1318
97,2300
98,1316
99,1316
100,628
101,1334
102,2190
103,1709
104,2004
105,1242
106,1954
107,1899
108,2630
109,690
110,2563
111,630
112,1318
113,2632
114,640
115,2006
116,688
117,1411
118,2316
119,1033
120,1527
121,2161
122,690
123,1316
124,2630
125,686
126,1144
127,419
128,688
129,1268
130,1961
131,2638
132,1181
133,1326
134,1946
135,2630
136,870
137,349
138,638
139,1324
140,1942
141,1954
142,2640
143,2634
144,686
145,644
146,930
147,1333
148,688
149,640
150,1316
151,1324
152,1266
153,1326
154,1948
155,1944
156,1663
157,2015
158,640
159,1314
160,1318
161,640
162,1312
163,1316
164,649
165,686
166,630
167,633
168,3262
