Time,org.apache.hadoop.hdfs.util.ExactSizeInputStream Data
0,1364
1,1086
2,682
3,731
4,255
5,875
6,1086
7,685
8,672
9,699
10,640
11,971
12,1319
13,1370
14,1316
15,628
16,669
17,1121
18,681
19,1367
20,1380
21,1325
22,269
23,1381
24,642
25,1340
26,1372
27,749
28,1363
29,642
30,1400
31,684
32,648
33,1398
34,640
35,1404
36,1364
37,1234
38,610
39,1249
40,1379
41,1374
42,638
43,1568
44,679
45,2010
46,504
47,828
48,635
49,1375
50,640
51,682
52,1423
53,2012
54,745
55,684
56,1374
57,2040
58,2020
59,563
60,644
61,692
62,950
63,679
64,1359
65,1369
66,674
67,862
68,738
69,703
70,686
71,671
72,1823
73,2095
74,1371
75,737
76,731
77,1410
78,1429
79,673
80,786
81,1318
82,1195
83,1373
84,1002
85,1392
86,1020
87,2042
88,677
89,2107
90,1418
91,641
92,1421
93,2096
94,691
95,2102
96,1380
97,2416
98,1375
99,271
100,1372
101,641
102,1418
103,2312
104,1782
105,2106
106,1253
107,2044
108,294
109,1997
110,2735
111,736
112,2682
113,646
114,1380
115,2746
116,679
117,2110
118,729
119,1490
120,2436
121,1093
122,1605
123,2291
124,736
125,1374
126,2740
127,723
128,1204
129,440
130,730
131,1319
132,2059
133,2756
134,1235
135,1393
136,2018
137,2735
138,917
139,375
140,674
141,1399
142,2007
143,2046
144,2768
145,2749
146,725
147,688
148,996
149,1418
150,732
151,681
152,1372
153,1398
154,1317
155,1404
156,2044
157,2015
158,1771
159,2120
160,678
161,1367
162,1376
163,679
164,1361
165,1372
166,689
167,726
168,646
169,651
170,3389
