Time,org.apache.hadoop.ipc.Client$Call Data
0,343
1,234
2,276
3,290
4,370
5,347
6,300
7,236
8,291
9,350
10,353
11,185
12,357
13,345
14,249
15,212
16,353
17,242
18,365
19,419
20,383
21,92
22,91
23,420
24,97
25,112
26,389
27,381
28,344
29,343
30,97
31,501
32,253
33,125
34,117
35,466
36,490
37,348
38,368
39,219
40,327
41,415
42,388
43,163
44,64
45,434
46,147
47,232
48,467
49,265
50,341
51,100
52,73
53,398
54,108
55,87
56,286
57,556
58,469
59,97
60,311
61,242
62,393
63,599
64,499
65,215
66,94
67,277
68,354
69,221
70,328
71,363
72,220
73,344
74,315
75,149
76,253
77,233
78,232
79,654
80,643
81,376
82,313
83,291
84,541
85,601
86,216
87,203
88,352
89,306
90,120
91,389
92,327
93,142
94,448
95,332
96,624
97,219
98,689
99,547
100,93
101,558
102,647
103,283
104,677
105,422
106,734
107,394
108,227
109,384
110,92
111,537
112,757
113,435
114,682
115,160
116,581
117,234
118,587
119,721
120,307
121,721
122,108
123,414
124,766
125,229
126,701
127,273
128,449
129,755
130,349
131,454
132,754
133,304
134,392
135,752
136,250
137,340
138,284
139,351
140,642
141,794
142,306
143,441
144,489
145,722
146,102
147,287
148,245
149,486
150,441
151,628
152,843
153,785
154,102
155,271
156,241
157,365
158,549
159,152
160,297
161,238
162,383
163,480
164,354
165,490
166,627
167,486
168,630
169,720
170,238
171,368
172,394
173,245
174,346
175,385
176,269
177,265
178,107
179,110
180,169
181,862
