Time,org.apache.hadoop.ipc.Client$Connection Data
0,26
1,57
2,59
3,51
4,54
5,32
6,64
7,58
8,42
9,34
10,49
11,42
12,47
13,51
14,39
15,49
16,50
17,15
18,36
19,14
20,46
21,49
22,54
23,46
24,80
25,60
26,14
27,37
28,25
29,29
30,64
31,34
32,51
33,72
34,69
35,65
36,58
37,48
38,39
39,89
40,64
41,52
42,48
43,43
44,30
45,92
46,49
47,97
48,62
49,31
50,72
51,51
52,67
53,57
54,95
55,47
56,37
57,14
58,16
59,54
60,34
61,55
62,59
63,34
64,49
65,22
66,56
67,36
68,25
69,44
70,76
71,67
72,31
73,54
74,65
75,68
76,89
77,104
78,39
79,47
80,37
81,61
82,64
83,67
84,37
85,52
86,55
87,50
88,53
89,61
90,51
91,41
92,30
93,23
94,85
95,78
96,44
97,45
98,39
99,80
100,75
101,47
102,39
103,21
104,48
105,40
106,32
107,46
108,41
109,33
110,62
111,42
112,33
113,70
114,46
115,83
116,67
117,20
118,79
119,69
120,50
121,82
122,78
123,93
124,53
125,35
126,52
127,42
128,79
129,96
130,57
131,80
132,40
133,91
134,36
135,73
136,89
137,43
138,86
139,36
140,79
141,113
142,51
143,85
144,38
145,63
146,95
147,48
148,64
149,95
150,48
151,53
152,92
153,36
154,53
155,33
156,49
157,82
158,116
159,14
160,40
161,75
162,68
163,86
164,33
165,38
166,13
167,35
168,72
169,57
170,77
171,113
172,100
173,35
174,35
175,47
176,49
177,72
178,29
179,47
180,52
181,62
182,63
183,83
184,58
185,88
186,85
187,80
188,90
189,95
190,47
191,45
192,61
193,48
194,40
195,49
196,47
197,35
198,26
199,40
200,33
201,106
