Time,org.apache.hadoop.ipc.protobuf.ProtobufRpcEngineProtos$RequestHeaderProto Data
0,68
1,344
2,235
3,277
4,291
5,68
6,371
7,348
8,301
9,237
10,292
11,88
12,351
13,354
14,186
15,358
16,346
17,250
18,213
19,354
20,243
21,366
22,420
23,384
24,93
25,92
26,421
27,98
28,113
29,390
30,382
31,345
32,344
33,98
34,502
35,254
36,126
37,57
38,118
39,467
40,89
41,491
42,349
43,369
44,220
45,328
46,416
47,389
48,164
49,65
50,435
51,148
52,233
53,468
54,266
55,342
56,101
57,74
58,399
59,109
60,88
61,287
62,557
63,470
64,98
65,312
66,243
67,394
68,600
69,500
70,216
71,95
72,278
73,355
74,222
75,329
76,364
77,221
78,345
79,316
80,150
81,254
82,234
83,233
84,655
85,644
86,377
87,314
88,292
89,542
90,602
91,217
92,204
93,353
94,307
95,121
96,390
97,328
98,143
99,449
100,333
101,625
102,220
103,690
104,548
105,94
106,559
107,648
108,284
109,678
110,423
111,735
112,395
113,228
114,385
115,93
116,538
117,758
118,436
119,683
120,161
121,582
122,235
123,588
124,722
125,308
126,722
127,109
128,415
129,767
130,230
131,702
132,274
133,450
134,756
135,350
136,455
137,755
138,305
139,393
140,753
141,251
142,341
143,47
144,285
145,352
146,643
147,795
148,307
149,442
150,490
151,723
152,103
153,288
154,49
155,246
156,487
157,442
158,629
159,844
160,786
161,103
162,272
163,242
164,366
165,550
166,57
167,153
168,298
169,239
170,384
171,481
172,355
173,491
174,628
175,487
176,631
177,721
178,239
179,369
180,395
181,246
182,347
183,386
184,270
185,266
186,108
187,111
188,170
189,863
